Area_slug,Year,type,WX_heavy_rain_days,WX_rh_avg,WX_tavg_avg,WX_tmax_avg,WX_tmin_avg,WX_total_rain_mm,WX_wet_days,WX_wind_speed_avg
manila,2023,history,16.0,71.84539473684211,28.769078947368417,32.092434210526314,25.445723684210527,2659.8,118.0,2.7434210526315788
manila,2024,forecast,23.478272208009876,71.21963254520304,28.785092424663855,32.253014852721286,25.318016978276788,3230.954377664523,117.21586361218402,2.739312623517668
manila,2025,forecast,36.80893523649889,71.1440324888846,28.804711795640895,32.314613129586625,25.29624720284287,4012.3487478072266,116.43693785644771,2.802637392349828
manila,2026,forecast,57.70857843544938,71.06851268246785,28.824344538807683,32.37632904964687,25.27449614621789,4982.720457249926,115.66318823740713,2.867426041687346
manila,2027,forecast,90.47477205312327,70.9930730407672,28.84399066327844,32.43816283758238,25.252763792306407,6187.772976779571,114.89458035847052,2.933712412098035
manila,2028,forecast,141.8451918239644,70.91771347868725,28.863650178173593,32.50011471850255,25.231050125026854,7684.262992609425,114.13108005161946,3.0015311264430897
manila,2029,forecast,222.38307969169077,70.84243391122301,28.88332309261983,32.562184917946766,25.209355128311476,9542.67358566189,113.37265337588948,3.070917607961386
munoz nueva ecija,2019,history,12.0,79.14246575342466,27.86082191780822,32.49808219178082,23.223561643835616,2005.8,116.0,2.1835616438356165
munoz nueva ecija,2020,history,9.0,78.3360655737705,28.22349726775956,33.01448087431694,23.432513661202183,1973.7,111.0,2.180327868852459
munoz nueva ecija,2021,history,7.0,75.22191780821917,28.32917808219178,32.8454794520548,23.81287671232877,1454.5,101.0,2.4438356164383563
munoz nueva ecija,2022,history,7.0,77.25205479452055,28.21301369863014,32.68684931506849,23.739178082191778,1603.6,109.0,2.336986301369863
munoz nueva ecija,2023,history,3.0,74.85479452054794,28.573698630136985,33.21287671232877,23.934520547945205,1375.7,109.0,2.331506849315069
munoz nueva ecija,2024,forecast,2.7936294285490773,74.10365795653118,28.667249216871028,33.182819815433454,24.152468635691697,1245.8523581520765,104.52091460532182,2.4351933128378924
