year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n
2021,6,7502,NCR,NCR,Malabon City,Malabon City,93996.629,122
2021,6,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,219643.601,172
2021,6,7402,NCR,NCR,Marikina City,Marikina City,163079.9909,120
2021,6,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,250980.4502,150
2021,6,7503,NCR,NCR,Navotas City,Navotas City,79802.4946,133
2021,6,7604,NCR,NCR,Paranaque City,Parañaque City,312181.7089,163
2021,6,7605,NCR,NCR,Pasay City,Pasay City,297781.214,173
2021,6,7403,NCR,NCR,Pasig City,Pasig City,581151.3498,229
2021,6,7404,NCR,NCR,Quezon City,Quezon City,1604264.875,334
2021,6,7405,NCR,NCR,San Juan City,San Juan City,64186.3759,59
2021,6,7607,NCR,NCR,Taguig City,Taguig City,558737.7949,254
2021,6,7504,NCR,NCR,Valenzuela City,Valenzuela City,292370.1625,161
2021,6,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,52746.2025,22
2021,6,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,44883.2927,7
2021,6,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,51627.7199,10
2021,6,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,15247.3788,2
2021,6,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,159952.7769,27
2021,6,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,167073.4721,26
2021,6,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,4983.3761,1
2021,6,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,,
2021,6,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,210456.9282,33
2021,6,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,352981.9542,215
2021,6,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,7955.7824,3
2021,6,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,237649.4111,46
2021,6,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,74094.3826,22
2021,6,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,96177.3951,194
2021,6,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,184084.1488,30
2021,6,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,283082.7788,44
2021,6,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,6762.7693,1
2021,6,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,68366.9054,12
2021,6,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,13607.326,3
2021,6,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,69923.6455,10
2021,6,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,57326.8347,9
2021,6,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,73140.1129,8
2021,6,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,167362.1087,22
2021,6,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,14780.1421,3
2021,6,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,42689.0476,5
2021,6,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,384232.8394,44
2021,6,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,227593.6379,31
2021,6,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,314308.7047,42
2021,6,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,40819.7321,5
2021,6,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,34920.1991,6
2021,6,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,94958.4031,14
2021,6,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,141996.3845,109
2021,6,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,10387.7718,3
2021,6,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,140493.4257,26
2021,7,7501,NCR,NCR,Caloocan City,Caloocan City,421117.3191,2000
2021,7,NA,NCR,NCR,City of Manila,City of Manila,838191.7875,3370
2021,7,7601,NCR,NCR,Las Pinas City,Las Piñas City,183293.1672,1754
2021,7,7602,NCR,NCR,Makati City,Makati City,645824.5118,4096
2021,7,7502,NCR,NCR,Malabon City,Malabon City,119226.4474,1964
2021,7,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,249801.8981,1835
2021,7,7402,NCR,NCR,Marikina City,Marikina City,178796.585,1913
2021,7,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,286080.8953,2451
2021,7,7503,NCR,NCR,Navotas City,Navotas City,77798.4816,2021
2021,7,7604,NCR,NCR,Paranaque City,Parañaque City,338247.536,2480
2021,7,7605,NCR,NCR,Pasay City,Pasay City,295086.6755,2603
2021,7,7403,NCR,NCR,Pasig City,Pasig City,464895.5006,2960
2021,7,7404,NCR,NCR,Quezon City,Quezon City,1479946.482,4617
2021,7,7405,NCR,NCR,San Juan City,San Juan City,59094.6977,539
2021,7,7607,NCR,NCR,Taguig City,Taguig City,458267.3536,2917
2021,7,7504,NCR,NCR,Valenzuela City,Valenzuela City,257578.0054,2256
2021,7,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,59930.9981,454
2021,7,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,68416.1137,155
2021,7,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,129830.4215,306
2021,7,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,142234.5807,281
2021,7,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,113331.9969,302
2021,7,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,38062.672,109
2021,7,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,18223.5025,54
2021,7,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,80271.1065,194
2021,7,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,50201.9463,147
2021,7,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,279057.2675,2857
2021,7,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,169387.1407,583
2021,7,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,153959.8821,471
2021,7,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,141368.8166,653
2021,7,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,110931.545,2538
2021,7,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,138922.0207,361
2021,7,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,328649.6006,703
2021,7,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,31034.5847,80
2021,7,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,117379.1277,251
2021,7,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,36096.5198,132
2021,7,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,64417.7509,128
2021,7,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,189078.3131,317
2021,7,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,118941.1173,178
2021,7,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,201179.9272,318
2021,7,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,57350.3412,116
