Area_slug,Units,Occupied,occ_rate0,Year,Area_display,Region,Household_Population,Units_per_1k
cavite,1195190.926837667,1135431.3804957834,0.95,2025,Cavite,Region IV-A (Calabarzon),5015515.625523364,238.2987146437112
cavite,1218334.0128189556,1157417.3121780078,0.95,2026,Cavite,Region IV-A (Calabarzon),5140381.579190573,237.0123684496589
cavite,1241924.13747653,1179827.9306027037,0.95,2027,Cavite,Region IV-A (Calabarzon),5268350.260624455,235.7330238193626
cavite,1265969.9147982833,1202671.419058369,0.95,2028,Cavite,Region IV-A (Calabarzon),5399498.620378127,234.46064233082947
cavite,1290480.124346886,1225956.1181295416,0.95,2029,Cavite,Region IV-A (Calabarzon),5533905.513787654,233.19518577461642
laguna,834930.0,834930.0,0.95,2020,Laguna,Region IV-A (Calabarzon),3373136.0,247.52337290877094
laguna,865286.8421972475,822022.5000873852,0.95,2021,Laguna,Region IV-A (Calabarzon),3508061.4400000004,246.65669544181284
laguna,908589.177810946,863159.7189203986,0.95,2022,Laguna,Region IV-A (Calabarzon),3648383.8976,249.0388082264696
laguna,938667.2923434094,891733.9277262388,0.95,2023,Laguna,Region IV-A (Calabarzon),3794319.2535040006,247.38753637469048
laguna,944042.8299118554,896840.6884162626,0.95,2024,Laguna,Region IV-A (Calabarzon),3822256.8187768,246.98571411378066
laguna,962323.6550185378,914207.4722676108,0.95,2025,Laguna,Region IV-A (Calabarzon),3917419.885509793,245.6524148912635
laguna,980957.6143214658,931909.7336053924,0.95,2026,Laguna,Region IV-A (Calabarzon),4014947.7184268776,244.32637312294096
laguna,999951.5126795172,949953.9370455414,0.95,2027,Laguna,Region IV-A (Calabarzon),4114898.968667324,243.00754898081192
laguna,1019312.2857580552,968346.6714701524,0.95,2028,Laguna,Region IV-A (Calabarzon),4217333.739249346,241.69590285721262
laguna,1039047.002537147,987094.6524102896,0.95,2029,Laguna,Region IV-A (Calabarzon),4322313.620941397,240.39139536358846
las pinas,142990.0,142990.0,0.95,2020,Las Piñas,NCR,604283.0,236.6275404073919
las pinas,142990.0,135840.5,0.95,2021,Las Piñas,NCR,604283.0,236.6275404073919
las pinas,147478.98838835582,140105.03896893802,0.95,2022,Las Piñas,NCR,628454.32,234.66938438478047
las pinas,149919.23775191102,142423.27586431545,0.95,2023,Las Piñas,NCR,641824.0378933391,233.58308336969017
las pinas,149919.23775191102,142423.27586431545,0.95,2024,Las Piñas,NCR,641824.0378933391,233.58308336969017
las pinas,150362.13025318796,142844.02374052856,0.95,2025,Las Piñas,NCR,644261.8566245281,233.38667143974365
las pinas,150806.3311507096,143266.0145931741,0.95,2026,Las Piñas,NCR,646708.9348408952,233.1904246657908
las pinas,151251.8443097497,143689.2520942622,0.95,2027,Las Piñas,NCR,649165.3077124335,232.99434290895755
las pinas,151698.67360700067,144113.73992665065,0.95,2028,Las Piñas,NCR,651631.0105427195,232.79842603048684
las pinas,152146.8229306077,144539.48178407733,0.95,2029,Las Piñas,NCR,654106.0787694235,232.602673891738
lucena,63782.0,63782.0,0.95,2020,Lucena,Region IV-A (Calabarzon),278347.0,229.1456347652391
lucena,66101.02088681069,62795.96984247015,0.95,2021,Lucena,Region IV-A (Calabarzon),289480.88,228.3433050459522
lucena,69408.97433214492,65938.52561553767,0.95,2022,Lucena,Region IV-A (Calabarzon),301060.1152,230.5485543511309
lucena,71706.70264602701,68121.36751372567,0.95,2023,Lucena,Region IV-A (Calabarzon),313102.519808,229.01988361511377
lucena,72117.35088862295,68511.4833441918,0.95,2024,Lucena,Region IV-A (Calabarzon),315407.89305147075,228.6478952410182
lucena,73513.86028097251,69838.16726692389,0.95,2025,Lucena,Region IV-A (Calabarzon),323260.63131518994,227.41358878710486
lucena,74937.34631244744,71190.47899682506,0.95,2026,Lucena,Region IV-A (Calabarzon),331308.50715208816,226.18600094698812
lucena,76388.32882005075,72568.91237904821,0.95,2027,Lucena,Region IV-A (Calabarzon),339556.3603814503,224.96509484975562
lucena,77867.33763335882,73973.97075169088,0.95,2028,Lucena,Region IV-A (Calabarzon),348009.1506298108,223.750833828473
lucena,79374.91276612929,75406.16712782282,0.95,2029,Lucena,Region IV-A (Calabarzon),356671.9602910096,222.54318141904704
makati,180256.0,180256.0,0.95,2020,Makati,NCR,624032.0,288.8569816932465
makati,180256.0,171243.19999999998,0.95,2021,Makati,NCR,624032.0,288.8569816932465
makati,185914.90685314685,176619.1615104895,0.95,2022,Makati,NCR,648993.28,286.4666131106116
makati,188991.13308768772,179541.57643330336,0.95,2023,Makati,NCR,662799.9430972843,285.14053909619605
makati,188991.13308768772,179541.57643330336,0.95,2024,Makati,NCR,662799.9430972843,285.14053909619605
makati,189549.4520660092,180071.9794627087,0.95,2025,Makati,NCR,665317.4339061625,284.9007742862538
makati,190109.42043431223,180603.94941259664,0.95,2026,Makati,NCR,667844.4868160011,284.66121108624134
makati,190671.04306523703,181137.49091197515,0.95,2027,Makati,NCR,670381.1381462087,284.42184932663196
makati,191234.324845818,181672.60860352707,0.95,2028,Makati,NCR,672927.4243541427,284.1826888380414
makati,191799.27067752727,182209.3071436509,0.95,2029,Makati,NCR,675483.3820356373,283.9437294512277
malabon,88079.0,88079.0,0.95,2020,Malabon,NCR,379463.0,232.11485704798622
malabon,88079.0,83675.05,0.95,2021,Malabon,NCR,379463.00000000006,232.1148570479862
malabon,90844.12768905514,86301.92130460238,0.95,2022,Malabon,NCR,394641.5200000001,230.19404468403405
malabon,92347.27282992218,87729.90918842607,0.95,2023,Malabon,NCR,403037.11157044,229.12846032984328
malabon,92347.27282992218,87729.90918842607,0.95,2024,Malabon,NCR,403037.11157044,229.12846032984328
malabon,92620.08581418662,87989.08152347729,0.95,2025,Malabon,NCR,404567.9539227702,228.935794138226
malabon,92893.70474455104,88249.01950732346,0.95,2026,Malabon,NCR,406104.610822298,228.7432899529407
malabon,93168.1320019473,88509.72540184994,0.95,2027,Malabon,NCR,407647.1043542235,228.55094763776165
malabon,93443.36997434097,88771.20147562391,0.95,2028,Malabon,NCR,409195.4566876316,228.3587670565781
malabon,93719.4210567522,89033.45000391458,0.95,2029,Malabon,NCR,410749.6900758119,228.16674807339342
mandaluyong,108859.0,108859.0,0.95,2020,Mandaluyong,NCR,419333.0,259.6003653421028
mandaluyong,108859.0,103416.05,0.95,2021,Mandaluyong,NCR,419333.0,259.6003653421028
mandaluyong,112276.48924377948,106662.6647815905,0.95,2022,Mandaluyong,NCR,436106.32,257.4521030646368
mandaluyong,114134.2632522224,108427.55008961128,0.95,2023,Mandaluyong,NCR,445384.0324515625,256.2603392492186
mandaluyong,114134.2632522224,108427.55008961128,0.95,2024,Mandaluyong,NCR,445384.0324515625,256.2603392492186
mandaluyong,114471.4395218672,108747.86754577384,0.95,2025,Mandaluyong,NCR,447075.71969413874,256.04485879971605
mandaluyong,114809.61188009716,109069.1312860923,0.95,2026,Mandaluyong,NCR,448773.832415668,255.82955954026528
mandaluyong,115148.7832695646,109391.34410608636,0.95,2027,Mandaluyong,NCR,450478.3950218323,255.61444131850973
mandaluyong,115488.95664161468,109714.50880953396,0.95,2028,Mandaluyong,NCR,452189.43201101176,255.39950398222106
mandaluyong,115830.13495631178,110038.6282084962,0.95,2029,Mandaluyong,NCR,453906.96797463886,255.184747379299
manila,447791.0,447791.0,0.95,2020,Manila,NCR,1837785.0,243.6579904613434
manila,447791.0,425401.45,0.95,2021,Manila,NCR,1837785.0,243.6579904613434
manila,461848.8264173037,438756.38509643846,0.95,2022,Manila,NCR,1911296.4,241.64165558900424
manila,469490.7713278271,446016.2327614357,0.95,2023,Manila,NCR,1951957.260885728,240.5230794422154
manila,469490.7713278271,446016.2327614357,0.95,2024,Manila,NCR,1951957.260885728,240.5230794422154
manila,470877.7443751682,447333.8571564098,0.95,2025,Manila,NCR,1959371.3147262265,240.32083190978105
manila,472268.8148283615,448655.3740869434,0.95,2026,Manila,NCR,1966813.5291189305,240.11875444029653
manila,473663.9947919934,449980.7950523937,0.95,2027,Manila,NCR,1974284.011025124,239.9168468907616
manila,475063.2964064092,451310.1315860887,0.95,2028,Manila,NCR,1981782.867812353,239.7151091182967
manila,476466.7318478199,452643.39525542886,0.95,2029,Manila,NCR,1989310.2072559795,239.513540980142
marikina,97768.0,97768.0,0.95,2020,Marikina,NCR,452961.0,215.84198198078863
marikina,97768.0,92879.6,0.95,2021,Marikina,NCR,452961.0,215.84198198078863
marikina,100837.3014669052,95795.43639355992,0.95,2022,Marikina,NCR,471079.44000000006,214.0558319991745
marikina,102505.79786368864,97380.5079705042,0.95,2023,Marikina,NCR,481101.1695318332,213.0649525617212
marikina,102505.79786368864,97380.5079705042,0.95,2024,Marikina,NCR,481101.1695318332,213.0649525617212
marikina,102808.62123640592,97668.19017458562,0.95,2025,Marikina,NCR,482928.5199790544,212.88579361779034
marikina,103112.33921213076,97956.72225152422,0.95,2026,Marikina,NCR,484762.8111902317,212.70678532241445
marikina,103416.95443370592,98246.1067120206,0.95,2027,Marikina,NCR,486604.0695282371,212.52792754891817
marikina,103722.46955178154,98536.34607419246,0.95,2028,Marikina,NCR,488452.3214560742,212.349220170733
marikina,104028.88722483849,98827.44286359656,0.95,2029,Marikina,NCR,490307.5935372614,212.1706630613966
muntinlupa,126655.0,126655.0,0.95,2020,Muntinlupa,NCR,519112.0,243.98395721925135
muntinlupa,126655.0,120322.25,0.95,2021,Muntinlupa,NCR,519112.0,243.98395721925135
muntinlupa,130631.1719303952,124099.61333387544,0.95,2022,Muntinlupa,NCR,539876.48,241.96492488503148
muntinlupa,132792.65023755713,126153.01772567928,0.95,2023,Muntinlupa,NCR,551361.7956468858,240.8448523020316
muntinlupa,132792.65023755713,126153.01772567928,0.95,2024,Muntinlupa,NCR,551361.7956468858,240.8448523020316
muntinlupa,133184.94724958058,126525.69988710155,0.95,2025,Muntinlupa,NCR,553456.0146753624,240.64233420193676
muntinlupa,133578.4031882868,126899.48302887243,0.95,2026,Muntinlupa,NCR,555558.188105783,240.43998639230267
muntinlupa,133973.02147738548,127274.3704035162,0.95,2027,Muntinlupa,NCR,557668.3461510863,240.2378087299379
muntinlupa,134368.80555070055,127650.36527316552,0.95,2028,Muntinlupa,NCR,559786.5191389668,240.0358010717717
muntinlupa,134765.7588522003,128027.47090959028,0.95,2029,Muntinlupa,NCR,561912.737512313,239.83396327485323
navotas,55476.0,55476.0,0.95,2020,Navotas,NCR,246743.0,224.83312596507298
navotas,55476.0,52702.2,0.95,2021,Navotas,NCR,246743.0,224.83312596507298
navotas,57217.59815254513,54356.71824491787,0.95,2022,Navotas,NCR,256612.72000000003,222.97257186839812
navotas,58164.3445942025,55256.12736449237,0.95,2023,Navotas,NCR,262071.8911204124,221.94041621761767
navotas,58164.3445942025,55256.12736449237,0.95,2024,Navotas,NCR,262071.8911204124,221.94041621761767
navotas,58336.174123546094,55419.36541736879,0.95,2025,Navotas,NCR,263067.3100006221,221.75379420349924
navotas,58508.51127293353,55583.08570928685,0.95,2026,Navotas,NCR,264066.50974700105,221.5673291133731
navotas,58681.35754197968,55747.2896648807,0.95,2027,Navotas,NCR,265069.5047202867,221.3810208152873
navotas,58854.71443472949,55911.97871299301,0.95,2028,Navotas,NCR,266076.309335762,221.19486917740073
navotas,59028.58345967126,56077.15428668769,0.95,2029,Navotas,NCR,267086.9380634634,221.00887406798336
nueva ecija,546068.0,546068.0,0.95,2020,Nueva Ecija,Region III (Central Luzon),2306751.0,236.7260272131669
nueva ecija,559344.2950722644,531377.0803186512,0.95,2021,Nueva Ecija,Region III (Central Luzon),2378857.6561067146,235.13146893694272
nueva ecija,587008.9808791769,557658.531835218,0.95,2022,Nueva Ecija,Region III (Central Luzon),2474011.962350983,237.27006571195352
nueva ecija,608159.3202202677,577751.3542092544,0.95,2023,Nueva Ecija,Region III (Central Luzon),2572972.4408450224,236.36449056583538
nueva ecija,610934.8815100556,580388.1374345528,0.95,2024,Nueva Ecija,Region III (Central Luzon),2588070.2196721765,236.058077893822
nueva ecija,622242.1961616863,591130.086353602,0.95,2025,Nueva Ecija,Region III (Central Luzon),2649656.6568336585,234.8388024376208
nueva ecija,633756.5459152603,602068.7186194973,0.95,2026,Nueva Ecija,Region III (Central Luzon),2712696.3411414223,233.62605548713734
nueva ecija,645481.6800818386,613207.5960777467,0.95,2027,Nueva Ecija,Region III (Central Luzon),2777223.272730679,232.41980089241252
nueva ecija,657421.4151123303,624550.3443567138,0.95,2028,Nueva Ecija,Region III (Central Luzon),2843272.240320375,231.22000271006522
nueva ecija,669579.6357860594,636100.6539967564,0.95,2029,Nueva Ecija,Region III (Central Luzon),2910878.8393423543,230.0266252020766
olongapo,63821.0,63821.0,0.95,2020,Olongapo,Region III (Central Luzon),258639.0,246.75706293327764
olongapo,65372.65002858066,62104.01752715163,0.95,2021,Olongapo,Region III (Central Luzon),266723.7882709423,245.09493679721615
olongapo,68605.92484578834,65175.62860349892,0.95,2022,Olongapo,Region III (Central Luzon),277392.73980178003,247.3241545355979
olongapo,71077.84374066547,67523.9515536322,0.95,2023,Olongapo,Region III (Central Luzon),288488.4493938513,246.3802065212958
olongapo,71402.23392114766,67832.12222509028,0.95,2024,Olongapo,Region III (Central Luzon),290181.2521359228,246.06080990960228
olongapo,72723.76187807193,69087.57378416833,0.95,2025,Olongapo,Region III (Central Luzon),297086.4857398135,244.7898688389446
olongapo,74069.4867980871,70366.01245818274,0.95,2026,Olongapo,Region III (Central Luzon),304154.661242794,243.52573291310014
olongapo,75439.84687713439,71667.85453327767,0.95,2027,Olongapo,Region III (Central Luzon),311389.5908296084,242.26836445029048
olongapo,76835.288158039,72993.52375013704,0.95,2028,Olongapo,Region III (Central Luzon),318795.17510308715,241.0177259840685
olongapo,78256.26466942231,74343.4514359512,0.95,2029,Olongapo,Region III (Central Luzon),326375.4051168362,239.77378026205147
pampanga,540236.0,540236.0,0.95,2020,Pampanga *,Region III (Central Luzon),2433144.0,222.03207044054938
pampanga,553370.5043926028,525701.9791729726,0.95,2021,Pampanga *,Region III (Central Luzon),2509201.570871808,220.536488904053
pampanga,580739.7316712259,551702.7450876646,0.95,2022,Pampanga *,Region III (Central Luzon),2609569.6337066805,222.5423396141886
pampanga,601664.185629842,571580.9763483498,0.95,2023,Pampanga *,Region III (Central Luzon),2713952.419054948,221.69297494145215
pampanga,604410.1039567717,574189.598758933,0.95,2024,Pampanga *,Region III (Central Luzon),2729877.445191976,221.40558178583987
pampanga,615596.6566171333,584816.8237862766,0.95,2025,Pampanga *,Region III (Central Luzon),2794838.366444784,220.26198867457663
pampanga,626988.0332469153,595638.6315845696,0.95,2026,Pampanga *,Region III (Central Luzon),2861332.162106011,219.12451883441477
pampanga,638587.9431145794,606658.5459588504,0.95,2027,Pampanga *,Region III (Central Luzon),2929394.6952683725,217.99313835928007
pampanga,650400.1619113827,617880.1538158135,0.95,2028,Pampanga *,Region III (Central Luzon),2999062.660816914,216.86781353685365
pampanga,662428.5329272501,629307.1062808876,0.95,2029,Pampanga *,Region III (Central Luzon),3070373.6045515146,215.7485108474316
paranaque,170674.0,170674.0,0.95,2020,Parañaque,NCR,686313.0,248.68245246702307
paranaque,170674.0,162140.3,0.95,2021,Parañaque,NCR,686313.0,248.68245246702307
paranaque,176032.09220361034,167230.48759342983,0.95,2022,Parañaque,NCR,713765.52,246.62453883119815
paranaque,178944.793230783,169997.55356924384,0.95,2023,Parañaque,NCR,728950.1457408057,245.4828965689113
paranaque,178944.793230783,169997.55356924384,0.95,2024,Parañaque,NCR,728950.1457408057,245.4828965689113
paranaque,179473.43323891604,170499.76157697022,0.95,2025,Parañaque,NCR,731718.8926472361,245.276478497926
paranaque,180003.63495920142,171003.45321124134,0.95,2026,Parañaque,NCR,734498.155992241,245.07023399675208
paranaque,180535.40300526065,171508.63285499762,0.95,2027,Parañaque,NCR,737287.9757200575,244.8641629194405
paranaque,181068.7420043446,172015.30490412735,0.95,2028,Parañaque,NCR,740088.3919266396,244.65826512016528
paranaque,181603.6565973742,172523.4737675055,0.95,2029,Parañaque,NCR,742899.4448602383,244.45254045322287
pasay city,114778.0,114778.0,0.95,2020,Pasay City,NCR,437003.0,262.6480825074427
pasay city,114778.0,109039.1,0.95,2021,Pasay City,NCR,437003.0,262.6480825074427
pasay city,118381.30868759147,112462.24325321191,0.95,2022,Pasay City,NCR,454483.12,260.47459955738617
pasay city,120340.0956059084,114323.090825613,0.95,2023,Pasay City,NCR,464151.7799301037,259.2688443940263
