Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price,Price_to_Income
bulacan,Bulacan,Region III (Central Luzon),2025,363255.3326,FamilyIncome_Total,1057459.2210144573,343517.10721432505,2299203.9247661694,6.6931278718869285
bulacan,Bulacan,Region III (Central Luzon),2026,385050.6525560001,FamilyIncome_Total,1082617.9129110696,355666.2493424212,2359983.744924972,6.635388511809211
bulacan,Bulacan,Region III (Central Luzon),2027,408153.6917093601,FamilyIncome_Total,1108370.1546729773,368246.73597403493,2422358.1382345106,6.578084478677662
bulacan,Bulacan,Region III (Central Luzon),2028,432642.91321192175,FamilyIncome_Total,1134729.830231724,381273.94000347325,2486368.617787898,6.52121311455288
bulacan,Bulacan,Region III (Central Luzon),2029,458601.48800463707,FamilyIncome_Total,1161711.145472262,394763.7842608501,2552057.769017664,6.46477177179791
caloocan,Caloocan,NCR,2024,154161.91,FamilyIncome_Total,429366.1264117278,359045.3473550707,4518991.3324155845,12.586129762452035
caloocan,Caloocan,NCR,2025,161088.09816708433,FamilyIncome_Total,430996.9733786632,373756.91273255495,4538062.813877151,12.141749514943157
caloocan,Caloocan,NCR,2026,168325.46620036018,FamilyIncome_Total,432634.0147369719,389071.27148265694,4557214.7826374015,11.71305906311446
caloocan,Caloocan,NCR,2027,175887.99479264257,FamilyIncome_Total,434277.2740146036,405013.12253039505,4576447.578376575,11.299504445150728
caloocan,Caloocan,NCR,2028,183790.29276147785,FamilyIncome_Total,435926.7748288723,421608.17681737186,4595761.542208449,10.900551258044496
caloocan,Caloocan,NCR,2029,192047.62526955013,FamilyIncome_Total,437582.54088679806,438883.1987682812,4615157.016686413,10.515683967029904
cavite,Cavite,Region IV-A (Calabarzon),2024,527020.97,FamilyIncome_Total,1242064.4006638408,424310.5025136582,,
cavite,Cavite,Region IV-A (Calabarzon),2025,558642.2282,FamilyIncome_Total,1272988.1881148564,438843.2142699474,,
cavite,Cavite,Region IV-A (Calabarzon),2026,592160.7618920001,FamilyIncome_Total,1304680.4199777502,453874.18468508846,,
cavite,Cavite,Region IV-A (Calabarzon),2027,627690.4076055201,FamilyIncome_Total,1337160.155278538,469420.5141603017,,
cavite,Cavite,Region IV-A (Calabarzon),2028,665351.8320618513,FamilyIncome_Total,1370446.924839672,485499.89058473794,,
cavite,Cavite,Region IV-A (Calabarzon),2029,705272.9419855624,FamilyIncome_Total,1404560.7429366272,502130.60953917314,,
laguna,Laguna,Region IV-A (Calabarzon),2024,440820.18,FamilyIncome_Total,1037279.9221242917,424977.06800033763,,
laguna,Laguna,Region IV-A (Calabarzon),2025,467269.3908,FamilyIncome_Total,1063105.172265777,439532.6097455788,,
laguna,Laguna,Region IV-A (Calabarzon),2026,495305.5542480001,FamilyIncome_Total,1089572.170097063,454587.19288312626,,
laguna,Laguna,Region IV-A (Calabarzon),2027,525023.8875028801,FamilyIncome_Total,1116696.8323009007,470157.9446778705,,
laguna,Laguna,Region IV-A (Calabarzon),2028,556525.320753053,FamilyIncome_Total,1144495.4695693776,486262.58080553915,,
laguna,Laguna,Region IV-A (Calabarzon),2029,589916.8399982362,FamilyIncome_Total,1172984.7963386334,502919.4255881309,,
las pinas,Las Piñas,NCR,2024,96816.95,FamilyIncome_Total,166646.33908520843,580972.55860206,,
las pinas,Las Piñas,NCR,2025,101166.74310689128,FamilyIncome_Total,167279.3062894899,604777.3950701011,,
las pinas,Las Piñas,NCR,2026,105711.96377138142,FamilyIncome_Total,167914.6776718882,629557.6136467754,,
las pinas,Las Piñas,NCR,2027,110461.39216515631,FamilyIncome_Total,168552.4623641127,655353.1797508475,,
las pinas,Las Piñas,NCR,2028,115424.20293555886,FamilyIncome_Total,169192.66953255702,682205.6963487314,,
las pinas,Las Piñas,NCR,2029,120609.9829286026,FamilyIncome_Total,169835.3083784316,710158.4710515919,,
lucena,Lucena,Region IV-A (Calabarzon),2024,24776.36,FamilyIncome_Total,75813.15798125595,326808.1776269722,,
lucena,Lucena,Region IV-A (Calabarzon),2025,26262.9416,FamilyIncome_Total,77700.68489382957,338001.41705167404,,
lucena,Lucena,Region IV-A (Calabarzon),2026,27838.718096000004,FamilyIncome_Total,79635.11613565247,349578.42026096664,,
lucena,Lucena,Region IV-A (Calabarzon),2027,29509.041181760007,FamilyIncome_Total,81617.61503203171,361552.35815428896,,
lucena,Lucena,Region IV-A (Calabarzon),2028,31279.58365266561,FamilyIncome_Total,83649.37370579704,373936.8541201389,,
