year,month,loc_code,Region,Province,City,city_raw,EMP_w,EMP_n,UNEMP_w,LF_w,POP15p_w,UNEMP_n,LF_n,POP15p_n
2024,4,7504,NCR,NCR,Valenzuela City,Valenzuela City,255039,485,,,,,,
2024,4,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,71153,123,,,,,,
2024,4,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,133642,65,,,,,,
2024,4,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,47536,31,,,,,,
2024,4,1420,Region III (Central Luzon),Bulacan,San Jose del Monte City,San Jose del Monte City,152646,72,,,,,,
2024,4,4903,Region III (Central Luzon),Nueva Ecija,Cabanatuan City,Cabanatuan City,188323,117,,,,,,
2024,4,4908,Region III (Central Luzon),Nueva Ecija,Gapan City,Gapan City,130581,66,,,,,,
2024,4,4919,Region III (Central Luzon),Nueva Ecija,Palayan City,Palayan City,3005,2,,,,,,
2024,4,4926,Region III (Central Luzon),Nueva Ecija,San Jose City,San Jose City,42074,28,,,,,,
2024,4,4917,Region III (Central Luzon),Nueva Ecija,Science City of Munoz,Science City of Muñoz,16569,8,,,,,,
2024,4,5401,Region III (Central Luzon),Pampanga,Angeles City,Angeles City,362663,781,,,,,,
2024,4,5409,Region III (Central Luzon),Pampanga,Mabalacat City,Mabalacat City,99587,103,,,,,,
2024,4,5416,Region III (Central Luzon),Pampanga,San Fernando City,San Fernando City,257887,188,,,,,,
2024,4,6916,Region III (Central Luzon),Tarlac,Tarlac City,Tarlac City,196456,224,,,,,,
2024,4,7107,Region III (Central Luzon),Zambales,Olongapo City,Olongapo City,143824,748,,,,,,
2024,4,1005,Region IV-A (CALABARZON),Batangas,Batangas City,Batangas City,65890,40,,,,,,
2024,4,1014,Region IV-A (CALABARZON),Batangas,Lipa City,Lipa City,171284,97,,,,,,
2024,4,1031,Region IV-A (CALABARZON),Batangas,Tanauan City,Tanauan City,94180,49,,,,,,
2024,4,2103,Region IV-A (CALABARZON),Cavite,Bacoor City,Bacoor City,139484,53,,,,,,
2024,4,2105,Region IV-A (CALABARZON),Cavite,Cavite City,Cavite City,6261,8,,,,,,
2024,4,2104,Region IV-A (CALABARZON),Cavite,City of Carmona,City of Carmona,170558,56,,,,,,
2024,4,2106,Region IV-A (CALABARZON),Cavite,Dasmarinas City,Dasmariñas City,137130,64,,,,,,
2024,4,2108,Region IV-A (CALABARZON),Cavite,General Trias City,General Trias City,117380,43,,,,,,
2024,4,2109,Region IV-A (CALABARZON),Cavite,Imus City,Imus City,260718,104,,,,,,
2024,4,2119,Region IV-A (CALABARZON),Cavite,Tagaytay City,Tagaytay City,25469,16,,,,,,
2024,4,2122,Region IV-A (CALABARZON),Cavite,Trece Martires City,Trece Martires City,10317,4,,,,,,
2024,4,3403,Region IV-A (CALABARZON),Laguna,Binan City,Biñan City,58634,38,,,,,,
2024,4,3404,Region IV-A (CALABARZON),Laguna,Cabuyao City,Cabuyao City,258481,131,,,,,,
2024,4,3405,Region IV-A (CALABARZON),Laguna,Calamba City,Calamba City,250197,132,,,,,,
2024,4,3424,Region IV-A (CALABARZON),Laguna,San Pablo City,San Pablo City,166006,79,,,,,,
2024,4,3425,Region IV-A (CALABARZON),Laguna,San Pedro City,San Pedro City,194384,99,,,,,,
2024,4,3428,Region IV-A (CALABARZON),Laguna,Santa Rosa City,Santa Rosa City,180404,94,,,,,,
2024,4,5624,Region IV-A (CALABARZON),Quezon,Lucena City,Lucena City,118581,393,,,,,,
2024,4,5647,Region IV-A (CALABARZON),Quezon,Tayabas City,Tayabas City,4507,8,,,,,,
2024,4,5802,Region IV-A (CALABARZON),Rizal,Antipolo City,Antipolo City,364130,212,,,,,,
2024,5,7501,NCR,NCR,Caloocan City,Caloocan City,464020,132,,,,,,
2024,5,NA,NCR,NCR,City of Manila,City of Manila,900296,218,,,,,,
2024,5,3901,NCR,NCR,City of Manila,City of Manila,318462,70,,,,,,
2024,5,3902,NCR,NCR,City of Manila,City of Manila,63129,16,,,,,,
2024,5,3903,NCR,NCR,City of Manila,City of Manila,2645,1,,,,,,
2024,5,3904,NCR,NCR,City of Manila,City of Manila,,,,,,,,
2024,5,3905,NCR,NCR,City of Manila,City of Manila,119170,30,,,,,,
2024,5,3906,NCR,NCR,City of Manila,City of Manila,163866,38,,,,,,
2024,5,3907,NCR,NCR,City of Manila,City of Manila,1908,1,,,,,,
2024,5,3908,NCR,NCR,City of Manila,City of Manila,131480,28,,,,,,
2024,5,3909,NCR,NCR,City of Manila,City of Manila,21150,8,,,,,,
2024,5,3910,NCR,NCR,City of Manila,City of Manila,18015,9,,,,,,
2024,5,3911,NCR,NCR,City of Manila,City of Manila,12301,5,,,,,,
2024,5,3912,NCR,NCR,City of Manila,City of Manila,43578,10,,,,,,
2024,5,3913,NCR,NCR,City of Manila,City of Manila,1348,1,,,,,,
2024,5,3914,NCR,NCR,City of Manila,City of Manila,3244,1,,,,,,
2024,5,7601,NCR,NCR,Las Pinas City,Las Piñas City,224541,118,,,,,,
2024,5,7602,NCR,NCR,Makati City,Makati City,704804,201,,,,,,
2024,5,7502,NCR,NCR,Malabon City,Malabon City,136389,141,,,,,,
2024,5,7401,NCR,NCR,Mandaluyong City,Mandaluyong City,285556,164,,,,,,
2024,5,7402,NCR,NCR,Marikina City,Marikina City,224788,118,,,,,,
2024,5,7603,NCR,NCR,Muntinlupa City,Muntinlupa City,267461,155,,,,,,
2024,5,7503,NCR,NCR,Navotas City,Navotas City,107786,184,,,,,,
2024,5,7604,NCR,NCR,Paranaque City,Parañaque City,386271,145,,,,,,
2024,5,7605,NCR,NCR,Pasay City,Pasay City,349782,177,,,,,,
2024,5,7403,NCR,NCR,Pasig City,Pasig City,551262,194,,,,,,
2024,5,7404,NCR,NCR,Quezon City,Quezon City,1819734,322,,,,,,
2024,5,7405,NCR,NCR,San Juan City,San Juan City,88894,50,,,,,,
2024,5,7607,NCR,NCR,Taguig City,Taguig City,613455,214,,,,,,
2024,5,7504,NCR,NCR,Valenzuela City,Valenzuela City,261587,121,,,,,,
2024,5,803,Region III (Central Luzon),Bataan,Balanga City,Balanga City,8834,4,,,,,,
2024,5,1410,Region III (Central Luzon),Bulacan,Malolos City,Malolos City,293697,33,,,,,,
2024,5,1412,Region III (Central Luzon),Bulacan,Meycauayan City,Meycauayan City,231944,30,,,,,,
