Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
NCR,NCR,Taguig City,2024,9,642856,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Taguig City,2024,10,715030,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Taguig City,2024,11,661297,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Taguig City,2024,12,679553,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Valenzuela City,2024,1,267075,TRUE,,
NCR,NCR,Valenzuela City,2024,2,285213,TRUE,,
NCR,NCR,Valenzuela City,2024,3,263108,TRUE,,
NCR,NCR,Valenzuela City,2024,4,250457,TRUE,,
NCR,NCR,Valenzuela City,2024,5,256887,TRUE,,
NCR,NCR,Valenzuela City,2024,6,271760,TRUE,,
NCR,NCR,Valenzuela City,2024,7,264075,TRUE,,
NCR,NCR,Valenzuela City,2024,8,319921,TRUE,,
NCR,NCR,Valenzuela City,2024,9,348138,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Valenzuela City,2024,10,252768,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Valenzuela City,2024,11,299885,FALSE,time_series,"ETS(A,?,A)_log"
NCR,NCR,Valenzuela City,2024,12,248243,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bataan,Balanga City,2024,1,54187,TRUE,,
Region III (Central Luzon),Bataan,Balanga City,2024,2,21341,TRUE,,
Region III (Central Luzon),Bataan,Balanga City,2024,3,182112,TRUE,,
Region III (Central Luzon),Bataan,Balanga City,2024,4,78074,TRUE,,
Region III (Central Luzon),Bataan,Balanga City,2024,5,9693,TRUE,,
Region III (Central Luzon),Bataan,Balanga City,2024,6,106831,TRUE,,
Region III (Central Luzon),Bataan,Balanga City,2024,7,49029,TRUE,,
Region III (Central Luzon),Bataan,Balanga City,2024,8,48884,TRUE,,
Region III (Central Luzon),Bataan,Balanga City,2024,9,41690,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bataan,Balanga City,2024,10,37904,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bataan,Balanga City,2024,11,53713,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bataan,Balanga City,2024,12,68612,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Malolos City,2024,1,73885,TRUE,,
Region III (Central Luzon),Bulacan,Malolos City,2024,2,1676,TRUE,,
Region III (Central Luzon),Bulacan,Malolos City,2024,3,52134,TRUE,,
Region III (Central Luzon),Bulacan,Malolos City,2024,4,126142,TRUE,,
Region III (Central Luzon),Bulacan,Malolos City,2024,5,277215,TRUE,,
Region III (Central Luzon),Bulacan,Malolos City,2024,6,49535,TRUE,,
Region III (Central Luzon),Bulacan,Malolos City,2024,7,17337,TRUE,,
Region III (Central Luzon),Bulacan,Malolos City,2024,8,13430,TRUE,,
Region III (Central Luzon),Bulacan,Malolos City,2024,9,44391,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Malolos City,2024,10,105462,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Malolos City,2024,11,135359,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Malolos City,2024,12,74988,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Meycauayan City,2024,1,104080,TRUE,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,2,3718,TRUE,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,3,259145,TRUE,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,4,56106,TRUE,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,5,273761,TRUE,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,6,29883,TRUE,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,7,132010,TRUE,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,8,3445,TRUE,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,9,97879,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Meycauayan City,2024,10,49587,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Meycauayan City,2024,11,24509,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Meycauayan City,2024,12,61558,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,1,178091,TRUE,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,2,11172,TRUE,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,3,186718,TRUE,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,4,150338,TRUE,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,5,8240,TRUE,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,6,389627,TRUE,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,7,383879,TRUE,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,8,225601,TRUE,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,9,28689,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,10,254081,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,11,202607,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,12,316770,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,1,192462,TRUE,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,2,308610,TRUE,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,3,75736,TRUE,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,4,200245,TRUE,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,5,166287,TRUE,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,6,248359,TRUE,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,7,207732,TRUE,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,8,368009,TRUE,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,9,68163,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,10,186767,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,11,255342,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,12,242305,FALSE,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,1,51891,TRUE,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,2,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,3,0,TRUE,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,4,153467,TRUE,,
