Area_slug,Area_display,Region,Year,Value,variable,Households,Avg_Family_Income,Price_to_Income,Price,FamilyIncome_Total,Households_hh
marikina,Marikina,NCR,2021,51462.72,FamilyIncome_Total,104415.0,492867.1167935642,,,51462.72,104415.0
marikina,Marikina,NCR,2023,60399.48,FamilyIncome_Total,110901.77436173614,544621.4034681786,17.810537628947145,9700000.0,60399.48,110901.77436173614
marikina,Marikina,NCR,2024,60399.48,FamilyIncome_Total,110901.77436173614,544621.4034681786,17.3447322849276,9446312.439797096,60399.48,110901.77436173614
marikina,Marikina,NCR,2025,63113.10857189592,FamilyIncome_Total,111323.00885421252,566936.7835228763,16.885781409021526,9573170.599301046,63113.10857189592,111323.00885421252
marikina,Marikina,NCR,2026,65948.65508126703,FamilyIncome_Total,111745.84330754312,590166.5165277368,16.436278969201673,9700141.503931852,65948.65508126703,111745.84330754312
marikina,Marikina,NCR,2027,68911.59705869186,FamilyIncome_Total,112170.2837988058,614348.0672857628,15.996211405508111,9827241.560868382,68911.59705869186,112170.2837988058
marikina,Marikina,NCR,2028,72007.65812930721,FamilyIncome_Total,112596.33642816044,639520.4356870889,15.565548812007767,9954486.557963856,72007.65812930721,112596.33642816044
marikina,Marikina,NCR,2029,75242.81906935175,FamilyIncome_Total,113024.00731893728,665724.2196078527,15.144246530283054,10081891.702921618,75242.81906935175,113024.00731893728
muntinlupa,Muntinlupa,NCR,2018,64274.79,FamilyIncome_Total,,,,,64274.79,
muntinlupa,Muntinlupa,NCR,2021,60390.76,FamilyIncome_Total,138331.0,436567.07462535513,,,60390.76,138331.0
muntinlupa,Muntinlupa,NCR,2023,80328.59,FamilyIncome_Total,146924.80342128355,546732.6695661489,52.54304635352385,28727000.0,80328.59,146924.80342128355
muntinlupa,Muntinlupa,NCR,2024,80328.59,FamilyIncome_Total,146924.80342128355,546732.6695661489,51.16886931898224,27975692.52144857,80328.59,146924.80342128355
muntinlupa,Muntinlupa,NCR,2025,83937.59386831331,FamilyIncome_Total,147482.86297765715,569134.5568808859,49.81491371982449,28351388.845991872,83937.59386831331,147482.86297765715
muntinlupa,Muntinlupa,NCR,2026,87708.7431063068,FamilyIncome_Total,148043.0421929392,592454.3417042128,48.48883204707978,28727419.070458792,87708.7431063068,148043.0421929392
muntinlupa,Muntinlupa,NCR,2027,91649.32258312264,FamilyIncome_Total,148605.3491181593,616729.6340742776,47.190584297373846,29103831.785470724,91649.32258312264,148605.3491181593
muntinlupa,Muntinlupa,NCR,2028,95766.9444625895,FamilyIncome_Total,149169.79183492658,641999.5850672404,45.920082244912514,29480673.74748739,95766.9444625895,149169.79183492658
muntinlupa,Muntinlupa,NCR,2029,100069.56290792798,FamilyIncome_Total,149736.3784555467,668304.9499399796,44.67719414244845,29857989.99482776,100069.56290792798,149736.3784555467
navotas,Navotas,NCR,2018,21905.68,FamilyIncome_Total,,,,,21905.68,
navotas,Navotas,NCR,2021,20510.06,FamilyIncome_Total,63167.0,324695.8063545839,,,20510.06,63167.0
navotas,Navotas,NCR,2023,21291.41,FamilyIncome_Total,67091.24532976859,317350.04910622723,77.20181568901873,24500000.0,21291.41,67091.24532976859
navotas,Navotas,NCR,2024,21291.41,FamilyIncome_Total,67091.24532976859,317350.04910622723,75.18272906372168,23859242.76031225,21291.41,67091.24532976859
navotas,Navotas,NCR,2025,22247.990727382927,FamilyIncome_Total,67346.07575821521,330353.18653543084,73.1933539156954,24179657.69926553,22247.990727382927,67346.07575821521
navotas,Navotas,NCR,2026,23247.54872531749,FamilyIncome_Total,67601.87410053705,343889.1160139125,71.24493409627709,24500357.406838182,23247.548725317494,67601.87410053705
navotas,Navotas,NCR,2027,24292.01487713805,FamilyIncome_Total,67858.644033129,357979.6682244128,69.33741082826698,24821383.32384282,24292.01487713805,67858.644033129
navotas,Navotas,NCR,2028,25383.406816928105,FamilyIncome_Total,68116.38924634976,372647.5683425682,67.47065448097229,25142775.32681592,25383.406816928105,68116.38924634976
navotas,Navotas,NCR,2029,26523.83282706053,FamilyIncome_Total,68375.11344457511,387916.472687987,65.64447147736595,25464571.82696697,26523.832827060534,68375.11344457511
nueva ecija,Nueva Ecija,Region III (Central Luzon),2018,165534.08,FamilyIncome_Total,,,,,165534.08,
nueva ecija,Nueva Ecija,Region III (Central Luzon),2021,153064.11,FamilyIncome_Total,590481.3537770443,259219.20992240915,,,153064.11,590481.3537770443
nueva ecija,Nueva Ecija,Region III (Central Luzon),2023,194488.54,FamilyIncome_Total,638664.6322452512,304523.73621546524,13.008509777369598,3961400.0,194488.54,638664.6322452512
nueva ecija,Nueva Ecija,Region III (Central Luzon),2024,194488.54,FamilyIncome_Total,642412.2111968538,302747.26508958446,12.816302558809978,3880100.548240364,194488.54,642412.2111968538
nueva ecija,Nueva Ecija,Region III (Central Luzon),2025,206157.85240000003,FamilyIncome_Total,657699.2304500081,313453.0844120703,12.588750558493762,3945982.691454042,206157.85240000003,657699.2304500081
nueva ecija,Nueva Ecija,Region III (Central Luzon),2026,218527.32354400004,FamilyIncome_Total,673346.9755078806,324538.9546439605,12.359300126486708,4011074.343180965,218527.32354400004,673346.9755078806
nueva ecija,Nueva Ecija,Region III (Central Luzon),2027,231638.96295664005,FamilyIncome_Total,689363.8859027048,336018.41885481804,12.128544599157038,4075414.379218891,231638.96295664005,689363.8859027048
nueva ecija,Nueva Ecija,Region III (Central Luzon),2028,245537.3007340385,FamilyIncome_Total,705758.5969094025,347905.5045298412,11.897020263672697,4139038.837234794,245537.3007340385,705758.5969094025
nueva ecija,Nueva Ecija,Region III (Central Luzon),2029,260269.5387780808,FamilyIncome_Total,722539.9440456135,360214.74096060515,11.665211662050128,4201981.197096017,260269.5387780808,722539.9440456135
olongapo,Olongapo,Region III (Central Luzon),2018,22265.22,FamilyIncome_Total,,,,,22265.22,
olongapo,Olongapo,Region III (Central Luzon),2021,20650.47,FamilyIncome_Total,68527.15843551868,301347.2391304722,,,20650.47,68527.15843551868
olongapo,Olongapo,Region III (Central Luzon),2023,24236.46,FamilyIncome_Total,74118.97456385702,326994.00042453554,12.114595359110332,3961400.0,24236.46,74118.97456385702
olongapo,Olongapo,Region III (Central Luzon),2024,24236.46,FamilyIncome_Total,74553.89250821441,325086.4466577598,11.935596171824429,3880100.548240364,24236.46,74553.89250821441
olongapo,Olongapo,Region III (Central Luzon),2025,25690.6476,FamilyIncome_Total,76327.99762375592,336582.22932346625,11.723681013657519,3945982.691454042,25690.6476,76327.99762375592
olongapo,Olongapo,Region III (Central Luzon),2026,27232.086456000005,FamilyIncome_Total,78143.96606692595,348486.1061783995,11.509997879592902,4011074.343180965,27232.086456000005,78143.96606692595
olongapo,Olongapo,Region III (Central Luzon),2027,28866.011643360005,FamilyIncome_Total,80002.77727112878,360812.6196111082,11.295099333308968,4075414.379218891,28866.011643360005,80002.77727112878
olongapo,Olongapo,Region III (Central Luzon),2028,30597.97234196161,FamilyIncome_Total,81905.43338630346,373576.832169944,11.079484809571655,4139038.837234794,30597.97234196161,81905.43338630346
olongapo,Olongapo,Region III (Central Luzon),2029,32433.850682479308,FamilyIncome_Total,83852.95980116597,386794.34523703385,10.863605553801401,4201981.197096017,32433.850682479308,83852.95980116597
pampanga,Pampanga,Region III (Central Luzon),2018,186598.49,FamilyIncome_Total,,,,,186598.49,
pampanga,Pampanga,Region III (Central Luzon),2021,208224.49,FamilyIncome_Total,591860.1470175001,351813.6692414318,,,208224.49,591860.1470175001
