Region,Province,City,Year,GRDP_grdp_pc_const,g_grdp_pc_assumed,grdp_growth_source
NCR,NCR,Paranaque City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Paranaque City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Santa Rosa City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,City of Manila,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,Binan City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Laguna,San Pedro City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Cavite City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Cavite City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Cavite City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Cavite City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Cavite City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Cavite City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,191874.0,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Palayan City,2025,202177.21960706037,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Palayan City,2026,213033.69986575312,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Palayan City,2027,224473.14967876294,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Palayan City,2028,236526.8732527168,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Palayan City,2029,249227.8557625622,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,San Fernando City,2024,191874.0,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,San Fernando City,2025,202177.21960706037,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,San Fernando City,2026,213033.69986575312,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,San Fernando City,2027,224473.14967876294,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,San Fernando City,2028,236526.8732527168,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,San Fernando City,2029,249227.8557625622,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Muntinlupa City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Muntinlupa City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Muntinlupa City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Muntinlupa City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Muntinlupa City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Muntinlupa City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2024,191874.0,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2025,202177.21960706037,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2026,213033.69986575312,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2027,224473.14967876294,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2028,236526.8732527168,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Nueva Ecija,Science City of Munoz,2029,249227.8557625622,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Batangas,Lipa City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Batangas,Lipa City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Batangas,Lipa City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Batangas,Lipa City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Batangas,Lipa City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Batangas,Lipa City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,Mabalacat City,2024,191874.0,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,Mabalacat City,2025,202177.21960706037,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,Mabalacat City,2026,213033.69986575312,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,Mabalacat City,2027,224473.14967876294,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,Mabalacat City,2028,236526.8732527168,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
Region III (Central Luzon),Pampanga,Mabalacat City,2029,249227.8557625622,0.05369784132847788,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasay City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasay City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasay City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasay City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasay City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Pasay City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Tagaytay City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Tagaytay City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Tagaytay City,2026,208195.36956190414,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Tagaytay City,2027,216771.26147435445,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Tagaytay City,2028,225700.40774711448,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Cavite,Tagaytay City,2029,234997.35947811682,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Navotas City,2024,503483.0,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Navotas City,2025,526954.3976919365,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Navotas City,2026,551519.9862693906,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Navotas City,2027,577230.774782171,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Navotas City,2028,604140.150222726,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
NCR,NCR,Navotas City,2029,632303.9883812018,0.04661805401957264,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Quezon,Tayabas City,2024,192048.0,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
Region IV-A (CALABARZON),Quezon,Tayabas City,2025,199958.75658151248,0.041191559305551184,region_pcGRDP_const2018_CAGR_2022_2024
