Region,Province,City,Year,INC_income_per_hh,g_income_longrun,income_growth_source
Region III (Central Luzon),Pampanga,Mabalacat City,2024,464657.6808,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Mabalacat City,2025,489258.2688175932,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Mabalacat City,2026,515161.29722478567,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Mabalacat City,2027,542435.7217297595,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Mabalacat City,2028,571154.1487948733,0.052943465768689135,city_2018_2023p_CAGR
Region III (Central Luzon),Pampanga,Mabalacat City,2029,601393.0289202394,0.052943465768689135,city_2018_2023p_CAGR
NCR,NCR,Pasay City,2024,525982.5969,0.021166879432554797,city_2018_2023p_CAGR
NCR,NCR,Pasay City,2025,537116.0071122043,0.021166879432554797,city_2018_2023p_CAGR
NCR,NCR,Pasay City,2026,548485.0768760436,0.021166879432554797,city_2018_2023p_CAGR
NCR,NCR,Pasay City,2027,560094.7943688345,0.021166879432554797,city_2018_2023p_CAGR
NCR,NCR,Pasay City,2028,571950.2533520411,0.021166879432554797,city_2018_2023p_CAGR
NCR,NCR,Pasay City,2029,584056.6554061628,0.021166879432554797,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Tagaytay City,2024,494056.7266,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Tagaytay City,2025,508895.7126666918,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Tagaytay City,2026,524180.38744812465,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Tagaytay City,2027,539924.1371978843,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Tagaytay City,2028,556140.7502254742,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Tagaytay City,2029,572844.4289720583,0.03003498438086405,city_2018_2023p_CAGR
NCR,NCR,Navotas City,2024,333532.3949,-0.01023088935006522,city_2018_2023p_CAGR
NCR,NCR,Navotas City,2025,330120.06187311583,-0.01023088935006522,city_2018_2023p_CAGR
NCR,NCR,Navotas City,2026,326742.6400478553,-0.01023088935006522,city_2018_2023p_CAGR
NCR,NCR,Navotas City,2027,323399.7722515775,-0.01023088935006522,city_2018_2023p_CAGR
NCR,NCR,Navotas City,2028,320091.10496583534,-0.01023088935006522,city_2018_2023p_CAGR
NCR,NCR,Navotas City,2029,316816.28828898974,-0.01023088935006522,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Tayabas City,2024,261270.4068,0.011576751212717173,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Tayabas City,2025,264295.069298769,0.011576751212717173,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Tayabas City,2026,267354.7475627887,0.011576751212717173,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Tayabas City,2027,270449.84696086193,0.011576751212717173,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Tayabas City,2028,273580.7775546452,0.011576751212717173,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Quezon,Tayabas City,2029,276747.9541529771,0.011576751212717173,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Calamba City,2024,498554.5401,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Calamba City,2025,508396.9909923461,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Calamba City,2026,518433.7512967553,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Calamba City,2027,528668.6570646369,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Calamba City,2028,539105.6200786284,0.01974197424893953,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Laguna,Calamba City,2029,549748.6293476793,0.01974197424893953,city_2018_2023p_CAGR
Region III (Central Luzon),Tarlac,Tarlac City,2024,403418.28,0.055993743954888986,city_2018_2023p_CAGR
Region III (Central Luzon),Tarlac,Tarlac City,2025,426007.1798770417,0.055993743954888986,city_2018_2023p_CAGR
Region III (Central Luzon),Tarlac,Tarlac City,2026,449860.91683002113,0.055993743954888986,city_2018_2023p_CAGR
Region III (Central Luzon),Tarlac,Tarlac City,2027,475050.31382231304,0.055993743954888986,city_2018_2023p_CAGR
Region III (Central Luzon),Tarlac,Tarlac City,2028,501650.1594601692,0.055993743954888986,city_2018_2023p_CAGR
Region III (Central Luzon),Tarlac,Tarlac City,2029,529739.4300439112,0.055993743954888986,city_2018_2023p_CAGR
NCR,NCR,Las Pinas City,2024,611355.4376,0.027609025551985855,city_2018_2023p_CAGR
NCR,NCR,Las Pinas City,2025,628234.3654980438,0.027609025551985855,city_2018_2023p_CAGR
NCR,NCR,Las Pinas City,2026,645579.304147715,0.027609025551985855,city_2018_2023p_CAGR
NCR,NCR,Las Pinas City,2027,663403.1196517624,0.027609025551985855,city_2018_2023p_CAGR
NCR,NCR,Las Pinas City,2028,681719.0333334951,0.027609025551985855,city_2018_2023p_CAGR
NCR,NCR,Las Pinas City,2029,700540.6315440747,0.027609025551985855,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Bacoor City,2024,494056.7266,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Bacoor City,2025,508895.7126666918,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Bacoor City,2026,524180.38744812465,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Bacoor City,2027,539924.1371978843,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Bacoor City,2028,556140.7502254742,0.03003498438086405,city_2018_2023p_CAGR
Region IV-A (CALABARZON),Cavite,Bacoor City,2029,572844.4289720583,0.03003498438086405,city_2018_2023p_CAGR
NCR,NCR,Marikina City,2024,597454.9937,0.03209159180461918,city_2018_2023p_CAGR
NCR,NCR,Marikina City,2025,616628.2754794518,0.03209159180461918,city_2018_2023p_CAGR
NCR,NCR,Marikina City,2026,636416.8583913246,0.03209159180461918,city_2018_2023p_CAGR
NCR,NCR,Marikina City,2027,656840.4884283971,0.03209159180461918,city_2018_2023p_CAGR
NCR,NCR,Marikina City,2028,677919.5452637878,0.03209159180461918,city_2018_2023p_CAGR
NCR,NCR,Marikina City,2029,699675.0625867664,0.03209159180461918,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,356221.3595,0.009438633323631596,city_2018_2023p_CAGR
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2025,359583.60229436605,0.009438633323631596,city_2018_2023p_CAGR
