Region,Area_display,Area_slug,Date,RAINFALL_mm,TMAX_C,TMIN_C,TAVG,RH_pct,WIND_SPEED,WIND_DIRECTION,wet_day_1mm,heavy_rain_50mm
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-17,0.0,30.0,25.2,27.6,66.0,5.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-18,0.0,31.5,24.6,28.05,67.0,5.0,70.0,0,0
Region III (Central Luzon),"Olongapo, Zambales",olongapo zambales,2023-01-19,0.0,32.1,24.6,28.35,61.0,5.0,60.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-08,0.0,34.8,25.2,30.0,72.0,3.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-11-06,0.0,35.6,24.6,30.1,69.0,4.0,70.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-07-28,18.4,29.2,23.0,26.1,92.0,2.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-03,18.0,31.3,25.2,28.25,94.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-24,1.3,31.4,24.5,27.95,88.0,1.0,340.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-25,15.0,32.4,24.6,28.5,87.0,1.0,250.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-26,8.0,29.8,24.4,27.1,88.0,1.0,270.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-27,3.0,28.8,24.2,26.5,93.0,2.0,270.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-28,4.0,32.6,25.0,28.8,86.0,2.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-29,17.6,32.1,24.2,28.15,87.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-30,8.8,31.0,24.5,27.75,93.0,2.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-31,4.8,29.5,24.5,27.0,93.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-01,27.7,29.7,24.8,27.25,93.0,1.0,160.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-02,2.3,28.9,24.9,26.9,95.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-04,5.0,29.6,25.1,27.35,93.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-16,0.0,33.5,24.5,29.0,82.0,1.0,110.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-05,3.2,29.6,24.5,27.05,94.0,1.0,90.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-06,6.0,33.2,23.8,28.5,86.0,1.0,320.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-07,0.0,34.1,24.1,29.1,81.0,1.0,180.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-08,0.0,34.0,24.3,29.15,80.0,1.0,160.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-09,0.0,33.4,25.0,29.2,83.0,1.0,340.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-10,0.0,34.0,24.6,29.3,86.0,1.0,110.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-11,0.0,33.5,24.4,28.95,84.0,1.0,180.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-12,5.0,31.7,24.3,28.0,87.0,1.0,200.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-13,4.0,33.4,23.9,28.65,84.0,1.0,20.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-09-14,0.0,33.7,25.0,29.35,82.0,2.0,90.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-23,14.8,33.0,24.5,28.75,88.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-22,1.2,34.0,24.5,29.25,85.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-21,3.0,34.8,24.5,29.65,81.0,1.0,270.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-20,0.0,33.5,25.0,29.25,79.0,2.0,180.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-07-30,5.4,31.5,24.5,28.0,88.0,1.0,90.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-07-31,3.0,30.5,24.5,27.5,92.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-01,13.9,29.4,25.1,27.25,94.0,1.0,160.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-02,29.0,31.2,24.5,27.85,89.0,1.0,270.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-03,4.0,30.7,25.7,28.2,92.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-04,32.0,32.0,25.2,28.6,87.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-05,4.8,32.4,24.9,28.65,88.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-06,7.4,33.0,25.5,29.25,87.0,1.0,180.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-07,6.6,33.5,25.5,29.5,83.0,1.0,290.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-08,11.0,33.0,25.6,29.3,94.0,1.0,220.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-09,0.1,33.6,24.9,29.25,80.0,1.0,290.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-10,14.9,33.1,25.2,29.15,87.0,1.0,320.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-11,0.0,34.0,24.2,29.1,84.0,1.0,180.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-12,0.8,34.1,25.7,29.9,81.0,2.0,180.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-13,0.0,34.0,25.0,29.5,78.0,1.0,180.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-14,0.0,34.5,25.0,29.75,80.0,1.0,180.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-15,0.0,34.5,25.5,30.0,81.0,1.0,270.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-16,0.0,34.0,25.7,29.85,80.0,1.0,340.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-17,5.3,34.0,24.9,29.45,83.0,1.0,200.0,1,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-18,0.0,33.5,24.5,29.0,79.0,1.0,180.0,0,0
Region III (Central Luzon),"Muñoz, Nueva Ecija",munoz nueva ecija,2023-08-19,0.4,33.8,25.0,29.4,80.0,2.0,70.0,0,0
