Region,Province,Area_display,Year,n_records,employed_rate_unweighted,employed_rate_weighted,sum_weight
Region III (Central Luzon),Zambales,San Antonio,2023,27.0,1.0,1.0,49995.01900000001
Region III (Central Luzon),Zambales,San Narciso,2023,17.0,1.0,1.0,33766.033299999996
Region III (Central Luzon),Zambales,Santa Cruz,2023,29.0,1.0,1.0,56458.1178
Region III (Central Luzon),Zambales,Subic,2023,20.0,1.0,1.0,40091.00780000001
Region III (Central Luzon),,,2023,1874.0,0.0,0.0,6765883.1644
Region IV-A (CALABARZON),Bataan,Balanga,2023,1.0,1.0,1.0,5788.8564
Region IV-A (CALABARZON),Batangas,Balayan,2023,1.0,1.0,1.0,11102.6624
Region IV-A (CALABARZON),Batangas,Batangas City,2023,11.0,1.0,1.0,85896.5892
Region IV-A (CALABARZON),Batangas,Bauan,2023,6.0,1.0,1.0,40754.287
Region IV-A (CALABARZON),Batangas,Calaca,2023,2.0,1.0,1.0,16363.8616
Region IV-A (CALABARZON),Batangas,Lemery,2023,26.0,1.0,1.0,205496.79729999998
Region IV-A (CALABARZON),Batangas,Lipa,2023,33.0,1.0,1.0,263424.3878
Region IV-A (CALABARZON),Batangas,Nasugbu,2023,30.0,1.0,1.0,245914.2964
Region IV-A (CALABARZON),Batangas,Santo Tomas,2023,41.0,1.0,1.0,336200.425
Region IV-A (CALABARZON),Batangas,Taal,2023,1.0,1.0,1.0,7489.3368
Region IV-A (CALABARZON),Batangas,Tanauan,2023,1.0,1.0,1.0,5788.8564
Region IV-A (CALABARZON),Batangas,Tuy,2023,1.0,1.0,1.0,6064.5162
Region IV-A (CALABARZON),Bulacan,Bulacan,2023,1.0,1.0,1.0,10701.5607
Region IV-A (CALABARZON),Bulacan,Calumpit,2023,1.0,1.0,1.0,1137.8485
Region IV-A (CALABARZON),Bulacan,San Miguel,2023,1.0,1.0,1.0,9603.4653
Region IV-A (CALABARZON),Cavite,Bacoor,2023,15.0,1.0,1.0,171065.28470000002
Region IV-A (CALABARZON),Cavite,Carmona,2023,2.0,1.0,1.0,18738.8243
Region IV-A (CALABARZON),Cavite,Cavite,2023,5.0,1.0,1.0,58859.31
Region IV-A (CALABARZON),Cavite,Dasmarinas,2023,13.0,1.0,1.0,143819.3673
Region IV-A (CALABARZON),Cavite,Gen. Mariano Alvarez,2023,2.0,1.0,1.0,16808.0332
Region IV-A (CALABARZON),Cavite,General Trias,2023,19.0,1.0,1.0,218307.71190000002
