Region,Province,City,year,month,EMP_w,observed,projection_reliance,ts_model
Region III (Central Luzon),Bulacan,Malolos City,2024,5,252874.01498442626,True,,
Region III (Central Luzon),Bulacan,Malolos City,2024,6,45185.4404586451,True,,
Region III (Central Luzon),Bulacan,Malolos City,2024,7,15814.904160525784,True,,
Region III (Central Luzon),Bulacan,Malolos City,2024,8,12250.35150239334,True,,
Region III (Central Luzon),Bulacan,Malolos City,2024,9,46137.83647843667,False,time_series,seasonal_index
Region III (Central Luzon),Bulacan,Malolos City,2024,10,98125.90867002842,False,time_series,seasonal_index
Region III (Central Luzon),Bulacan,Malolos City,2024,11,151928.49820755149,False,time_series,seasonal_index
Region III (Central Luzon),Bulacan,Malolos City,2024,12,117687.99327916256,False,time_series,seasonal_index
Region III (Central Luzon),Bulacan,Meycauayan City,2024,1,104080.39462743244,True,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,2,3717.915709287748,True,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,3,259144.62639086283,True,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,4,56106.29877990552,True,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,5,273761.3464365198,True,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,6,29882.599977062604,True,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,7,132009.61349374228,True,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,8,3445.268557273313,True,,
Region III (Central Luzon),Bulacan,Meycauayan City,2024,9,97879.23172345248,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Meycauayan City,2024,10,49587.12951781584,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Meycauayan City,2024,11,24508.692148393082,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,Meycauayan City,2024,12,61557.88263825202,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,1,170225.73019226058,True,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,2,10678.116729273119,True,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,3,178471.3111172102,True,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,4,143698.47538187646,True,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,5,7875.617081644972,True,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,6,372418.97232075117,True,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,7,366925.05631686875,True,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,8,215637.1445362089,True,,
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,9,52651.908159840365,False,time_series,seasonal_index
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,10,272989.4092695402,False,time_series,seasonal_index
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,11,206309.03143751225,False,time_series,seasonal_index
Region III (Central Luzon),Bulacan,San Jose del Monte City,2024,12,337931.22745701286,False,time_series,seasonal_index
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,1,186534.99622740122,True,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,2,299106.4853348067,True,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,3,73403.91140638059,True,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,4,194078.7174496162,True,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,5,161166.6572101821,True,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,6,240710.66302120162,True,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,7,201334.91159245986,True,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,8,356676.82667860383,True,,
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,9,66063.52026574254,False,time_series,seasonal_index
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,10,202577.37033409992,False,time_series,seasonal_index
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,11,273527.2493047816,False,time_series,seasonal_index
Region III (Central Luzon),Nueva Ecija,Cabanatuan City,2024,12,260504.51442577847,False,time_series,seasonal_index
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,1,32231.27206146728,True,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,2,0.0,True,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,3,0.0,True,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,4,95322.89396096436,True,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,5,4149.996187562374,True,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,6,7083.098154427038,True,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,7,3737.5515356762276,True,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,8,3828.070361930886,True,,
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,9,27185.01042796983,False,time_series,seasonal_index
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,10,40669.84702252045,False,time_series,seasonal_index
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,11,2018.4731631442055,False,time_series,seasonal_index
Region III (Central Luzon),Nueva Ecija,Gapan City,2024,12,84502.78712433734,False,time_series,seasonal_index
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,1,16362.39751253191,True,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,2,0.0,True,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,3,0.0,True,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,4,2276.553594090119,True,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,5,0.0,True,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,6,0.0,True,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,7,2009.88242433314,True,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,8,0.0,True,,
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,9,3.6863505973121127,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,10,10644.492460840633,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,11,7086.462685573305,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,Palayan City,2024,12,2500.5249720335823,False,time_series,"ETS(A,?,A)_log"
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,1,147115.61820827227,True,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,2,277696.96875357407,True,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,3,32528.845256686032,True,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,4,58522.98962327068,True,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,5,0.0,True,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,6,0.0,True,,
Region III (Central Luzon),Nueva Ecija,San Jose City,2024,7,2037.7472975731223,True,,
