Area,Area_Level,Region,IncomeGroup,Value_2018,Value_2021,Value_2023,pct_change_2018_2021,pct_change_2021_2023
Navotas,Province,NCR,All Income Groups,21905.68,20510.06,21291.41,-6.371041666,3.809593926
Nueva Ecija,Province,Region III (Central Luzon),10th Decile,48245.94,36262.2,36090.64,-24.83885691,-0.47310974
Nueva Ecija,Province,Region III (Central Luzon),1st Decile,6864.4,7913.22,11480.74,15.27912126,45.08303826
Nueva Ecija,Province,Region III (Central Luzon),2nd Decile,8628.78,9155.88,13683.66,6.108627176,49.45215534
Nueva Ecija,Province,Region III (Central Luzon),3rd Decile,9538.76,9983.68,14776.88,4.664337922,48.0103529
Nueva Ecija,Province,Region III (Central Luzon),4th Decile,10806.35,11449.88,16578.2,5.955109727,44.78929037
Nueva Ecija,Province,Region III (Central Luzon),5th Decile,12333.21,12792.84,16799.76,3.726766997,31.32158301
Nueva Ecija,Province,Region III (Central Luzon),6th Decile,13045.16,13588.87,18761.34,4.167905951,38.06401857
Nueva Ecija,Province,Region III (Central Luzon),7th Decile,14603.62,15138.33,19950.4,3.661489412,31.78732397
Nueva Ecija,Province,Region III (Central Luzon),8th Decile,17431.09,16188.33,22610.58,-7.129559884,39.67209712
Nueva Ecija,Province,Region III (Central Luzon),9th Decile,24036.77,20590.88,23756.34,-14.33591119,15.37311664
Nueva Ecija,Province,Region III (Central Luzon),All Income Groups,165534.08,153064.11,194488.54,-7.533173833,27.06345073
Olongapo,Province,Region III (Central Luzon),10th Decile,4717.99,4045.72,4949.24,-14.24907641,22.33273682
Olongapo,Province,Region III (Central Luzon),1st Decile,1131.24,1125.59,1275.6,-0.499451929,13.32723283
Olongapo,Province,Region III (Central Luzon),2nd Decile,1421.29,1364.91,1597.58,-3.966818876,17.04654519
Olongapo,Province,Region III (Central Luzon),3rd Decile,1591.07,1498.35,1722.11,-5.827524873,14.93376047
Olongapo,Province,Region III (Central Luzon),4th Decile,1578.96,1620.3,2085.23,2.618179055,28.694069
Olongapo,Province,Region III (Central Luzon),5th Decile,1869.6,1906.31,2162.14,1.963521609,13.42016776
Olongapo,Province,Region III (Central Luzon),6th Decile,2193.13,1918.49,2230.99,-12.52274147,16.28885217
Olongapo,Province,Region III (Central Luzon),7th Decile,2316.67,2229.36,2552.52,-3.768771556,14.49564
Olongapo,Province,Region III (Central Luzon),8th Decile,2603.01,2370.3,2554.26,-8.940034806,7.761042906
Olongapo,Province,Region III (Central Luzon),9th Decile,2842.26,2571.14,3106.78,-9.538888068,20.83278235
Olongapo,Province,Region III (Central Luzon),All Income Groups,22265.22,20650.47,24236.46,-7.252342443,17.36517377
Pampanga,Province,Region III (Central Luzon),10th Decile,35098.49,38397.42,43920.54,9.399065316,14.38409143
Pampanga,Province,Region III (Central Luzon),1st Decile,11025.36,12836.63,16335.87,16.4282164,27.25980261
Pampanga,Province,Region III (Central Luzon),2nd Decile,13280.67,14281.04,18777.17,7.532526597,31.48321131
Pampanga,Province,Region III (Central Luzon),3rd Decile,14567.2,14939.41,20174.45,2.55512384,35.04181223
Pampanga,Province,Region III (Central Luzon),4th Decile,16014.04,18069.98,22525.39,12.83835934,24.6564191
Pampanga,Province,Region III (Central Luzon),5th Decile,16386.91,18017.38,21067.45,9.949831909,16.92848794
Pampanga,Province,Region III (Central Luzon),6th Decile,17921.42,20090.63,24400.81,12.10400738,21.45368264
Pampanga,Province,Region III (Central Luzon),7th Decile,17929.12,21338.51,26185.87,19.01593609,22.7164877
Pampanga,Province,Region III (Central Luzon),8th Decile,19813.78,23676.55,27841.23,19.4953714,17.5898938
Pampanga,Province,Region III (Central Luzon),9th Decile,24561.5,26576.93,30527.82,8.205647049,14.86586299
Pampanga,Province,Region III (Central Luzon),All Income Groups,186598.49,208224.49,251756.6,11.58959003,20.90633527
Parañaque,Province,NCR,10th Decile,19858.8,24354.55,26851.75,22.63857836,10.25352552
Parañaque,Province,NCR,1st Decile,4137.54,4193.32,5989.89,1.348144066,42.84361794
Parañaque,Province,NCR,2nd Decile,5361.83,5262.76,7156.42,-1.847690061,35.98226026
Parañaque,Province,NCR,3rd Decile,6406.64,6056.41,7495.51,-5.466672078,23.76160134
Parañaque,Province,NCR,4th Decile,6762.74,6152.67,9020.57,-9.021047682,46.61228377
Parañaque,Province,NCR,5th Decile,8068.85,7314.07,9714.27,-9.354245029,32.8162022
Parañaque,Province,NCR,6th Decile,8061.08,7372.59,9982.91,-8.540915113,35.40573937
Parañaque,Province,NCR,7th Decile,9618.36,9172.76,11765.98,-4.632806424,28.2708803
Parañaque,Province,NCR,8th Decile,10781.51,10429.75,12005.04,-3.262622768,15.10381361
Parañaque,Province,NCR,9th Decile,14856.41,12911.46,14393.33,-13.09165539,11.47716835
Parañaque,Province,NCR,All Income Groups,93913.75,93220.34,114375.68,-0.738347686,22.69390993
Pasay City,HUC/City,NCR,10th Decile,8153.32,8520.46,9637.41,4.502950945,13.10903402
Pasay City,HUC/City,NCR,1st Decile,2444.21,2364.5,3517.44,-3.261176413,48.76041446
Pasay City,HUC/City,NCR,2nd Decile,3082.72,2842.66,4001.78,-7.787278767,40.775893
Pasay City,HUC/City,NCR,3rd Decile,3527.71,3390.0,4292.48,-3.903665551,26.62182891
Pasay City,HUC/City,NCR,4th Decile,4263.91,3737.06,4931.53,-12.35603003,31.96282639
Pasay City,HUC/City,NCR,5th Decile,4662.4,4298.11,5563.65,-7.813357927,29.4441045
Pasay City,HUC/City,NCR,6th Decile,4426.24,4483.05,6010.8,1.283482143,34.07836183
Pasay City,HUC/City,NCR,7th Decile,5524.07,5070.6,6272.59,-8.208983594,23.70508421
Pasay City,HUC/City,NCR,8th Decile,6178.42,5922.81,6863.36,-4.137141858,15.88013122
Pasay City,HUC/City,NCR,9th Decile,7014.22,6076.2,6914.58,-13.37311918,13.79776834
Pasay City,HUC/City,NCR,All Income Groups,49277.21,46705.45,58005.62,-5.218964304,24.19454261
Pasig,Province,NCR,10th Decile,18863.82,19492.94,32787.96,3.335061509,68.20428319
Pasig,Province,NCR,1st Decile,4054.37,4587.14,5727.71,13.14063591,24.86451253
Pasig,Province,NCR,2nd Decile,5193.79,5527.01,7108.99,6.415738796,28.6227092
