Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
Marikina,Province,NCR,2018,5th Decile,3958.4,FALSE
Marikina,Province,NCR,2018,6th Decile,4241.79,FALSE
Marikina,Province,NCR,2018,7th Decile,4941.79,FALSE
Marikina,Province,NCR,2018,8th Decile,5974.21,FALSE
Marikina,Province,NCR,2018,9th Decile,6844.62,FALSE
Marikina,Province,NCR,2018,All Income Groups,48538.67,FALSE
Marikina,Province,NCR,2021,10th Decile,11660.71,FALSE
Marikina,Province,NCR,2021,1st Decile,2408.44,FALSE
Marikina,Province,NCR,2021,2nd Decile,2985.1,FALSE
Marikina,Province,NCR,2021,3rd Decile,3725.41,FALSE
Marikina,Province,NCR,2021,4th Decile,4062.73,FALSE
Marikina,Province,NCR,2021,5th Decile,3960.24,FALSE
Marikina,Province,NCR,2021,6th Decile,4452.57,FALSE
Marikina,Province,NCR,2021,7th Decile,5140.25,FALSE
Marikina,Province,NCR,2021,8th Decile,6136.91,FALSE
Marikina,Province,NCR,2021,9th Decile,6930.35,FALSE
Marikina,Province,NCR,2021,All Income Groups,51462.72,FALSE
Marikina,Province,NCR,2023,10th Decile,13378.77,TRUE
Marikina,Province,NCR,2023,1st Decile,3086.86,TRUE
Marikina,Province,NCR,2023,2nd Decile,3654.14,TRUE
Marikina,Province,NCR,2023,3rd Decile,3832.83,TRUE
Marikina,Province,NCR,2023,4th Decile,4551.19,TRUE
Marikina,Province,NCR,2023,5th Decile,5102.32,TRUE
Marikina,Province,NCR,2023,6th Decile,5477.41,TRUE
Marikina,Province,NCR,2023,7th Decile,6405.09,TRUE
Marikina,Province,NCR,2023,8th Decile,6708.86,TRUE
Marikina,Province,NCR,2023,9th Decile,8202.01,TRUE
Marikina,Province,NCR,2023,All Income Groups,60399.48,TRUE
Pasig,Province,NCR,2018,10th Decile,18863.82,FALSE
Pasig,Province,NCR,2018,1st Decile,4054.37,FALSE
Pasig,Province,NCR,2018,2nd Decile,5193.79,FALSE
Pasig,Province,NCR,2018,3rd Decile,6331.4,FALSE
Pasig,Province,NCR,2018,4th Decile,6688.45,FALSE
Pasig,Province,NCR,2018,5th Decile,7737.43,FALSE
Pasig,Province,NCR,2018,6th Decile,8222.33,FALSE
Pasig,Province,NCR,2018,7th Decile,9023.06,FALSE
Pasig,Province,NCR,2018,8th Decile,10888.25,FALSE
Pasig,Province,NCR,2018,9th Decile,11771.78,FALSE
Pasig,Province,NCR,2018,All Income Groups,88774.66,FALSE
Pasig,Province,NCR,2021,10th Decile,19492.94,FALSE
Pasig,Province,NCR,2021,1st Decile,4587.14,FALSE
Pasig,Province,NCR,2021,2nd Decile,5527.01,FALSE
Pasig,Province,NCR,2021,3rd Decile,6336.98,FALSE
Pasig,Province,NCR,2021,4th Decile,7181.14,FALSE
Pasig,Province,NCR,2021,5th Decile,8036.58,FALSE
Pasig,Province,NCR,2021,6th Decile,8477,FALSE
Pasig,Province,NCR,2021,7th Decile,9076.68,FALSE
Pasig,Province,NCR,2021,8th Decile,11063.25,FALSE
Pasig,Province,NCR,2021,9th Decile,11258.18,FALSE
Pasig,Province,NCR,2021,All Income Groups,91036.89,FALSE
Pasig,Province,NCR,2023,10th Decile,32787.96,TRUE
Pasig,Province,NCR,2023,1st Decile,5727.71,TRUE
Pasig,Province,NCR,2023,2nd Decile,7108.99,TRUE
Pasig,Province,NCR,2023,3rd Decile,8616.31,TRUE
Pasig,Province,NCR,2023,4th Decile,9190.88,TRUE
Pasig,Province,NCR,2023,5th Decile,11088.94,TRUE
Pasig,Province,NCR,2023,6th Decile,12045.15,TRUE
Pasig,Province,NCR,2023,7th Decile,13856.16,TRUE
Pasig,Province,NCR,2023,8th Decile,13573.81,TRUE
Pasig,Province,NCR,2023,9th Decile,16769.11,TRUE
Pasig,Province,NCR,2023,All Income Groups,130765.02,TRUE
Caloocan,Province,NCR,2018,10th Decile,28062.5,FALSE
Caloocan,Province,NCR,2018,1st Decile,6913.78,FALSE
Caloocan,Province,NCR,2018,2nd Decile,8804.2,FALSE
Caloocan,Province,NCR,2018,3rd Decile,9527.75,FALSE
Caloocan,Province,NCR,2018,4th Decile,11662,FALSE
Caloocan,Province,NCR,2018,5th Decile,12364.79,FALSE
Caloocan,Province,NCR,2018,6th Decile,13480.48,FALSE
Caloocan,Province,NCR,2018,7th Decile,14232.14,FALSE
Caloocan,Province,NCR,2018,8th Decile,16910.58,FALSE
Caloocan,Province,NCR,2018,9th Decile,19393.07,FALSE
Caloocan,Province,NCR,2018,All Income Groups,141351.28,FALSE
Caloocan,Province,NCR,2021,10th Decile,22637.36,FALSE
Caloocan,Province,NCR,2021,1st Decile,7449.83,FALSE
Caloocan,Province,NCR,2021,2nd Decile,8654.86,FALSE
Caloocan,Province,NCR,2021,3rd Decile,9641.16,FALSE
Caloocan,Province,NCR,2021,4th Decile,10626.57,FALSE
Caloocan,Province,NCR,2021,5th Decile,11525.44,FALSE
Caloocan,Province,NCR,2021,6th Decile,12638.44,FALSE
Caloocan,Province,NCR,2021,7th Decile,13693.4,FALSE
Caloocan,Province,NCR,2021,8th Decile,15020.12,FALSE
Caloocan,Province,NCR,2021,9th Decile,17998.65,FALSE
Caloocan,Province,NCR,2021,All Income Groups,129885.82,FALSE
Caloocan,Province,NCR,2023,10th Decile,23783.1,TRUE
Caloocan,Province,NCR,2023,1st Decile,9714.43,TRUE
Caloocan,Province,NCR,2023,2nd Decile,11273.81,TRUE
Caloocan,Province,NCR,2023,3rd Decile,11602.38,TRUE
Caloocan,Province,NCR,2023,4th Decile,13567.6,TRUE
Caloocan,Province,NCR,2023,5th Decile,14658.11,TRUE
Caloocan,Province,NCR,2023,6th Decile,15307.98,TRUE
Caloocan,Province,NCR,2023,7th Decile,17141.94,TRUE
Caloocan,Province,NCR,2023,8th Decile,18023.03,TRUE
Caloocan,Province,NCR,2023,9th Decile,19089.52,TRUE
Caloocan,Province,NCR,2023,All Income Groups,154161.91,TRUE
Malabon,Province,NCR,2018,10th Decile,5484.72,FALSE
Malabon,Province,NCR,2018,1st Decile,1866.51,FALSE
Malabon,Province,NCR,2018,2nd Decile,2298.05,FALSE
Malabon,Province,NCR,2018,3rd Decile,2408.53,FALSE
Malabon,Province,NCR,2018,4th Decile,2682.49,FALSE
Malabon,Province,NCR,2018,5th Decile,2647.08,FALSE
Malabon,Province,NCR,2018,6th Decile,2968.51,FALSE
Malabon,Province,NCR,2018,7th Decile,3298.03,FALSE
Malabon,Province,NCR,2018,8th Decile,3918.36,FALSE
Malabon,Province,NCR,2018,9th Decile,4178.4,FALSE
Malabon,Province,NCR,2018,All Income Groups,31750.68,FALSE
Malabon,Province,NCR,2021,10th Decile,5676.91,FALSE
Malabon,Province,NCR,2021,1st Decile,1850.47,FALSE
Malabon,Province,NCR,2021,2nd Decile,2159.84,FALSE
Malabon,Province,NCR,2021,3rd Decile,2299.82,FALSE
Malabon,Province,NCR,2021,4th Decile,2528.62,FALSE
Malabon,Province,NCR,2021,5th Decile,2816.92,FALSE
Malabon,Province,NCR,2021,6th Decile,3258.91,FALSE
Malabon,Province,NCR,2021,7th Decile,3351.83,FALSE
Malabon,Province,NCR,2021,8th Decile,3674.22,FALSE
Malabon,Province,NCR,2021,9th Decile,3785.65,FALSE
Malabon,Province,NCR,2021,All Income Groups,31403.2,FALSE
Malabon,Province,NCR,2023,10th Decile,5668.04,TRUE
Malabon,Province,NCR,2023,1st Decile,2104.7,TRUE
Malabon,Province,NCR,2023,2nd Decile,2358.35,TRUE
Malabon,Province,NCR,2023,3rd Decile,2660.35,TRUE
Malabon,Province,NCR,2023,4th Decile,2895.43,TRUE
Malabon,Province,NCR,2023,5th Decile,2970.05,TRUE
Malabon,Province,NCR,2023,6th Decile,3583.68,TRUE
Malabon,Province,NCR,2023,7th Decile,3716.05,TRUE
Malabon,Province,NCR,2023,8th Decile,3632.12,TRUE
Malabon,Province,NCR,2023,9th Decile,4682.16,TRUE
Malabon,Province,NCR,2023,All Income Groups,34270.92,TRUE
Navotas,Province,NCR,2018,10th Decile,4717.48,FALSE
Navotas,Province,NCR,2018,1st Decile,1138.95,FALSE
Navotas,Province,NCR,2018,2nd Decile,1314.04,FALSE
Navotas,Province,NCR,2018,3rd Decile,1574.04,FALSE
Navotas,Province,NCR,2018,4th Decile,1731.19,FALSE
Navotas,Province,NCR,2018,5th Decile,1923.65,FALSE
Navotas,Province,NCR,2018,6th Decile,2097.62,FALSE
Navotas,Province,NCR,2018,7th Decile,2416.39,FALSE
Navotas,Province,NCR,2018,8th Decile,2393.69,FALSE
Navotas,Province,NCR,2018,9th Decile,2598.63,FALSE
Navotas,Province,NCR,2018,All Income Groups,21905.68,FALSE
Navotas,Province,NCR,2021,10th Decile,3365.07,FALSE
Navotas,Province,NCR,2021,1st Decile,1336.5,FALSE
Navotas,Province,NCR,2021,2nd Decile,1532.7,FALSE
Navotas,Province,NCR,2021,3rd Decile,1649.29,FALSE
Navotas,Province,NCR,2021,4th Decile,1774.5,FALSE
Navotas,Province,NCR,2021,5th Decile,1806.73,FALSE
Navotas,Province,NCR,2021,6th Decile,2075.61,FALSE
Navotas,Province,NCR,2021,7th Decile,2167.24,FALSE
Navotas,Province,NCR,2021,8th Decile,2309.39,FALSE
Navotas,Province,NCR,2021,9th Decile,2493.03,FALSE
Navotas,Province,NCR,2021,All Income Groups,20510.06,FALSE
Navotas,Province,NCR,2023,10th Decile,3087.7,TRUE
Navotas,Province,NCR,2023,1st Decile,1456.07,TRUE
Navotas,Province,NCR,2023,2nd Decile,1594.94,TRUE
Navotas,Province,NCR,2023,3rd Decile,1902.55,TRUE
Navotas,Province,NCR,2023,4th Decile,1825.99,TRUE
Navotas,Province,NCR,2023,5th Decile,1963.39,TRUE
Navotas,Province,NCR,2023,6th Decile,2140.99,TRUE
Navotas,Province,NCR,2023,7th Decile,2217.79,TRUE
Navotas,Province,NCR,2023,8th Decile,2340.4,TRUE
Navotas,Province,NCR,2023,9th Decile,2761.59,TRUE
Navotas,Province,NCR,2023,All Income Groups,21291.41,TRUE
Valenzuela,Province,NCR,2018,10th Decile,11164.38,FALSE
Valenzuela,Province,NCR,2018,1st Decile,3463.15,FALSE
Valenzuela,Province,NCR,2018,2nd Decile,4296.1,FALSE
Valenzuela,Province,NCR,2018,3rd Decile,4310.59,FALSE
Valenzuela,Province,NCR,2018,4th Decile,5109.59,FALSE
Valenzuela,Province,NCR,2018,5th Decile,5256.32,FALSE
Valenzuela,Province,NCR,2018,6th Decile,6258.84,FALSE
Valenzuela,Province,NCR,2018,7th Decile,6012.56,FALSE
Valenzuela,Province,NCR,2018,8th Decile,6724.42,FALSE
Valenzuela,Province,NCR,2018,9th Decile,7517.83,FALSE
Valenzuela,Province,NCR,2018,All Income Groups,60113.79,FALSE
Valenzuela,Province,NCR,2021,10th Decile,10631.65,FALSE
Valenzuela,Province,NCR,2021,1st Decile,3450.18,FALSE
Valenzuela,Province,NCR,2021,2nd Decile,4106.42,FALSE
Valenzuela,Province,NCR,2021,3rd Decile,4563.09,FALSE
Valenzuela,Province,NCR,2021,4th Decile,5289.66,FALSE
Valenzuela,Province,NCR,2021,5th Decile,5260.84,FALSE
Valenzuela,Province,NCR,2021,6th Decile,5728.56,FALSE
Valenzuela,Province,NCR,2021,7th Decile,6971.48,FALSE
Valenzuela,Province,NCR,2021,8th Decile,7374.7,FALSE
Valenzuela,Province,NCR,2021,9th Decile,9328.28,FALSE
Valenzuela,Province,NCR,2021,All Income Groups,62704.85,FALSE
Valenzuela,Province,NCR,2023,10th Decile,11374.83,TRUE
Valenzuela,Province,NCR,2023,1st Decile,4429.33,TRUE
Valenzuela,Province,NCR,2023,2nd Decile,4856.89,TRUE
Valenzuela,Province,NCR,2023,3rd Decile,5187.11,TRUE
Valenzuela,Province,NCR,2023,4th Decile,5997.13,TRUE
Valenzuela,Province,NCR,2023,5th Decile,6898.67,TRUE
Valenzuela,Province,NCR,2023,6th Decile,7275.01,TRUE
Valenzuela,Province,NCR,2023,7th Decile,7464.16,TRUE
Valenzuela,Province,NCR,2023,8th Decile,8269.32,TRUE
Valenzuela,Province,NCR,2023,9th Decile,8139.7,TRUE
Valenzuela,Province,NCR,2023,All Income Groups,69892.16,TRUE
Las Pinas,Province,NCR,2018,10th Decile,15304.76,FALSE
Las Pinas,Province,NCR,2018,1st Decile,3428.67,FALSE
Las Pinas,Province,NCR,2018,2nd Decile,4412.58,FALSE
Las Pinas,Province,NCR,2018,3rd Decile,5303.65,FALSE
Las Pinas,Province,NCR,2018,4th Decile,5771.18,FALSE
Las Pinas,Province,NCR,2018,5th Decile,6461.74,FALSE
Las Pinas,Province,NCR,2018,6th Decile,7059.95,FALSE
Las Pinas,Province,NCR,2018,7th Decile,8437.25,FALSE
Las Pinas,Province,NCR,2018,8th Decile,8712.04,FALSE
Las Pinas,Province,NCR,2018,9th Decile,12413.93,FALSE
Las Pinas,Province,NCR,2018,All Income Groups,77305.75,FALSE
Las Pinas,Province,NCR,2021,10th Decile,13111.64,FALSE
Las Pinas,Province,NCR,2021,1st Decile,3336.31,FALSE
Las Pinas,Province,NCR,2021,2nd Decile,3976.73,FALSE
Las Pinas,Province,NCR,2021,3rd Decile,4622.11,FALSE
Las Pinas,Province,NCR,2021,4th Decile,5025.24,FALSE
Las Pinas,Province,NCR,2021,5th Decile,5623.53,FALSE
Las Pinas,Province,NCR,2021,6th Decile,6565.61,FALSE
Las Pinas,Province,NCR,2021,7th Decile,6798.1,FALSE
Las Pinas,Province,NCR,2021,8th Decile,7748.51,FALSE
Las Pinas,Province,NCR,2021,9th Decile,8774.5,FALSE
Las Pinas,Province,NCR,2021,All Income Groups,65582.27,FALSE
Las Pinas,Province,NCR,2023,10th Decile,17973.95,TRUE
Las Pinas,Province,NCR,2023,1st Decile,4905.24,TRUE
Las Pinas,Province,NCR,2023,2nd Decile,5972.29,TRUE
Las Pinas,Province,NCR,2023,3rd Decile,6668.52,TRUE
Las Pinas,Province,NCR,2023,4th Decile,7403.72,TRUE
Las Pinas,Province,NCR,2023,5th Decile,9040.78,TRUE
Las Pinas,Province,NCR,2023,6th Decile,9110.02,TRUE
Las Pinas,Province,NCR,2023,7th Decile,9793.41,TRUE
Las Pinas,Province,NCR,2023,8th Decile,11876.12,TRUE
Las Pinas,Province,NCR,2023,9th Decile,14072.9,TRUE
Las Pinas,Province,NCR,2023,All Income Groups,96816.95,TRUE
Muntinlupa,Province,NCR,2018,10th Decile,16774.77,FALSE
Muntinlupa,Province,NCR,2018,1st Decile,3094.77,FALSE
Muntinlupa,Province,NCR,2018,2nd Decile,3721.81,FALSE
Muntinlupa,Province,NCR,2018,3rd Decile,4188.18,FALSE
Muntinlupa,Province,NCR,2018,4th Decile,4411.52,FALSE
Muntinlupa,Province,NCR,2018,5th Decile,5038.91,FALSE
Muntinlupa,Province,NCR,2018,6th Decile,5278.37,FALSE
Muntinlupa,Province,NCR,2018,7th Decile,6383.3,FALSE
Muntinlupa,Province,NCR,2018,8th Decile,6691.37,FALSE
Muntinlupa,Province,NCR,2018,9th Decile,8691.8,FALSE
Muntinlupa,Province,NCR,2018,All Income Groups,64274.79,FALSE
Muntinlupa,Province,NCR,2021,10th Decile,10939.21,FALSE
Muntinlupa,Province,NCR,2021,1st Decile,3222.96,FALSE
Muntinlupa,Province,NCR,2021,2nd Decile,3875.35,FALSE
Muntinlupa,Province,NCR,2021,3rd Decile,4363.52,FALSE
Muntinlupa,Province,NCR,2021,4th Decile,4461.54,FALSE
Muntinlupa,Province,NCR,2021,5th Decile,5302.92,FALSE
Muntinlupa,Province,NCR,2021,6th Decile,5836.26,FALSE
Muntinlupa,Province,NCR,2021,7th Decile,6395.2,FALSE
Muntinlupa,Province,NCR,2021,8th Decile,7899.76,FALSE
Muntinlupa,Province,NCR,2021,9th Decile,8094.04,FALSE
Muntinlupa,Province,NCR,2021,All Income Groups,60390.76,FALSE
Muntinlupa,Province,NCR,2023,10th Decile,14718.31,TRUE
Muntinlupa,Province,NCR,2023,1st Decile,5055.53,TRUE
Muntinlupa,Province,NCR,2023,2nd Decile,5737.72,TRUE
Muntinlupa,Province,NCR,2023,3rd Decile,6193.05,TRUE
Muntinlupa,Province,NCR,2023,4th Decile,6818.25,TRUE
Muntinlupa,Province,NCR,2023,5th Decile,6806.8,TRUE
Muntinlupa,Province,NCR,2023,6th Decile,8057.82,TRUE
Muntinlupa,Province,NCR,2023,7th Decile,8179.7,TRUE
