Area,Year,IncomeGroup,Value
City of Pasig,2023,2nd Decile,7108.99
City of Pasig,2023,3rd Decile,8616.31
City of Pasig,2023,4th Decile,9190.88
City of Pasig,2023,5th Decile,11088.94
City of Pasig,2023,6th Decile,12045.15
City of Pasig,2023,7th Decile,13856.16
City of Pasig,2023,8th Decile,13573.81
City of Pasig,2023,9th Decile,16769.11
City of Pasig,2023,All Income Groups,130765.02
City of Caloocan,2018,10th Decile,28062.5
City of Caloocan,2018,1st Decile,6913.78
City of Caloocan,2018,2nd Decile,8804.2
City of Caloocan,2018,3rd Decile,9527.75
City of Caloocan,2018,4th Decile,11662.0
City of Caloocan,2018,5th Decile,12364.79
City of Caloocan,2018,6th Decile,13480.48
City of Caloocan,2018,7th Decile,14232.14
City of Caloocan,2018,8th Decile,16910.58
City of Caloocan,2018,9th Decile,19393.07
City of Caloocan,2018,All Income Groups,141351.28
City of Caloocan,2021,10th Decile,22637.36
City of Caloocan,2021,1st Decile,7449.83
City of Caloocan,2021,2nd Decile,8654.86
City of Caloocan,2021,3rd Decile,9641.16
City of Caloocan,2021,4th Decile,10626.57
City of Caloocan,2021,5th Decile,11525.44
City of Caloocan,2021,6th Decile,12638.44
City of Caloocan,2021,7th Decile,13693.4
City of Caloocan,2021,8th Decile,15020.12
City of Caloocan,2021,9th Decile,17998.65
City of Caloocan,2021,All Income Groups,129885.82
City of Caloocan,2023,10th Decile,23783.1
City of Caloocan,2023,1st Decile,9714.43
City of Caloocan,2023,2nd Decile,11273.81
City of Caloocan,2023,3rd Decile,11602.38
City of Caloocan,2023,4th Decile,13567.6
City of Caloocan,2023,5th Decile,14658.11
City of Caloocan,2023,6th Decile,15307.98
City of Caloocan,2023,7th Decile,17141.94
City of Caloocan,2023,8th Decile,18023.03
City of Caloocan,2023,9th Decile,19089.52
City of Caloocan,2023,All Income Groups,154161.91
City of Malabon,2018,10th Decile,5484.72
City of Malabon,2018,1st Decile,1866.51
City of Malabon,2018,2nd Decile,2298.05
City of Malabon,2018,3rd Decile,2408.53
City of Malabon,2018,4th Decile,2682.49
City of Malabon,2018,5th Decile,2647.08
City of Malabon,2018,6th Decile,2968.51
City of Malabon,2018,7th Decile,3298.03
City of Malabon,2018,8th Decile,3918.36
City of Malabon,2018,9th Decile,4178.4
City of Malabon,2018,All Income Groups,31750.68
City of Malabon,2021,10th Decile,5676.91
City of Malabon,2021,1st Decile,1850.47
City of Malabon,2021,2nd Decile,2159.84
City of Malabon,2021,3rd Decile,2299.82
City of Malabon,2021,4th Decile,2528.62
City of Malabon,2021,5th Decile,2816.92
City of Malabon,2021,6th Decile,3258.91
City of Malabon,2021,7th Decile,3351.83
City of Malabon,2021,8th Decile,3674.22
City of Malabon,2021,9th Decile,3785.65
City of Malabon,2021,All Income Groups,31403.2
City of Malabon,2023,10th Decile,5668.04
City of Malabon,2023,1st Decile,2104.7
City of Malabon,2023,2nd Decile,2358.35
City of Malabon,2023,3rd Decile,2660.35
City of Malabon,2023,4th Decile,2895.43
City of Malabon,2023,5th Decile,2970.05
City of Malabon,2023,6th Decile,3583.68
City of Malabon,2023,7th Decile,3716.05
City of Malabon,2023,8th Decile,3632.12
City of Malabon,2023,9th Decile,4682.16
City of Malabon,2023,All Income Groups,34270.92
City of Navotas,2018,10th Decile,4717.48
City of Navotas,2018,1st Decile,1138.95
City of Navotas,2018,2nd Decile,1314.04
City of Navotas,2018,3rd Decile,1574.04
City of Navotas,2018,4th Decile,1731.19
City of Navotas,2018,5th Decile,1923.65
City of Navotas,2018,6th Decile,2097.62
City of Navotas,2018,7th Decile,2416.39
City of Navotas,2018,8th Decile,2393.69
City of Navotas,2018,9th Decile,2598.63
City of Navotas,2018,All Income Groups,21905.68
City of Navotas,2021,10th Decile,3365.07
City of Navotas,2021,1st Decile,1336.5
City of Navotas,2021,2nd Decile,1532.7
City of Navotas,2021,3rd Decile,1649.29
City of Navotas,2021,4th Decile,1774.5
City of Navotas,2021,5th Decile,1806.73
City of Navotas,2021,6th Decile,2075.61
City of Navotas,2021,7th Decile,2167.24
City of Navotas,2021,8th Decile,2309.39
City of Navotas,2021,9th Decile,2493.03
City of Navotas,2021,All Income Groups,20510.06
City of Navotas,2023,10th Decile,3087.7
City of Navotas,2023,1st Decile,1456.07
City of Navotas,2023,2nd Decile,1594.94
City of Navotas,2023,3rd Decile,1902.55
City of Navotas,2023,4th Decile,1825.99
City of Navotas,2023,5th Decile,1963.39
City of Navotas,2023,6th Decile,2140.99
City of Navotas,2023,7th Decile,2217.79
City of Navotas,2023,8th Decile,2340.4
City of Navotas,2023,9th Decile,2761.59
City of Navotas,2023,All Income Groups,21291.41
City of Valenzuela,2018,10th Decile,11164.38
City of Valenzuela,2018,1st Decile,3463.15
City of Valenzuela,2018,2nd Decile,4296.1
City of Valenzuela,2018,3rd Decile,4310.59
City of Valenzuela,2018,4th Decile,5109.59
City of Valenzuela,2018,5th Decile,5256.32
City of Valenzuela,2018,6th Decile,6258.84
City of Valenzuela,2018,7th Decile,6012.56
City of Valenzuela,2018,8th Decile,6724.42
City of Valenzuela,2018,9th Decile,7517.83
City of Valenzuela,2018,All Income Groups,60113.79
City of Valenzuela,2021,10th Decile,10631.65
City of Valenzuela,2021,1st Decile,3450.18
City of Valenzuela,2021,2nd Decile,4106.42
City of Valenzuela,2021,3rd Decile,4563.09
City of Valenzuela,2021,4th Decile,5289.66
City of Valenzuela,2021,5th Decile,5260.84
City of Valenzuela,2021,6th Decile,5728.56
City of Valenzuela,2021,7th Decile,6971.48
City of Valenzuela,2021,8th Decile,7374.7
City of Valenzuela,2021,9th Decile,9328.28
City of Valenzuela,2021,All Income Groups,62704.85
City of Valenzuela,2023,10th Decile,11374.83
City of Valenzuela,2023,1st Decile,4429.33
City of Valenzuela,2023,2nd Decile,4856.89
City of Valenzuela,2023,3rd Decile,5187.11
City of Valenzuela,2023,4th Decile,5997.13
City of Valenzuela,2023,5th Decile,6898.67
City of Valenzuela,2023,6th Decile,7275.01
City of Valenzuela,2023,7th Decile,7464.16
City of Valenzuela,2023,8th Decile,8269.32
City of Valenzuela,2023,9th Decile,8139.7
City of Valenzuela,2023,All Income Groups,69892.16
City of Las Piñas,2018,10th Decile,15304.76
City of Las Piñas,2018,1st Decile,3428.67
City of Las Piñas,2018,2nd Decile,4412.58
City of Las Piñas,2018,3rd Decile,5303.65
City of Las Piñas,2018,4th Decile,5771.18
City of Las Piñas,2018,5th Decile,6461.74
City of Las Piñas,2018,6th Decile,7059.95
City of Las Piñas,2018,7th Decile,8437.25
City of Las Piñas,2018,8th Decile,8712.04
City of Las Piñas,2018,9th Decile,12413.93
City of Las Piñas,2018,All Income Groups,77305.75
City of Las Piñas,2021,10th Decile,13111.64
City of Las Piñas,2021,1st Decile,3336.31
City of Las Piñas,2021,2nd Decile,3976.73
City of Las Piñas,2021,3rd Decile,4622.11
City of Las Piñas,2021,4th Decile,5025.24
