Region,Year,GRDP,PriceType
Region III (Central Luzon),2000,707245644,Constant 2018 Prices
Region IV-A (CALABARZON),2000,1050505077,Constant 2018 Prices
MIMAROPA Region,2000,124948855,Constant 2018 Prices
Region V (Bicol Region),2000,176358450,Constant 2018 Prices
Region VI (Western Visayas),2000,323742052,Constant 2018 Prices
Region VII (Central Visayas),2000,382350583,Constant 2018 Prices
Region VIII (Eastern Visayas),2000,197055277,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2000,153478479,Constant 2018 Prices
Region X (Northern Mindanao),2000,254909002,Constant 2018 Prices
Region XI (Davao Region),2000,286212024,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2000,175244994,Constant 2018 Prices
Region XIII (Caraga),2000,96921630,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2000,98017851,Constant 2018 Prices
Philippines,2000,6985383240,Constant 2018 Prices
National Capital Region (NCR),2001,2483504980,Constant 2018 Prices
Cordillera Administrative Region (CAR),2001,149394641,Constant 2018 Prices
Region I (Ilocos Region),2001,245289940,Constant 2018 Prices
Region II (Cagayan Valley),2001,163979540,Constant 2018 Prices
Region III (Central Luzon),2001,749289527,Constant 2018 Prices
Region IV-A (CALABARZON),2001,1068135114,Constant 2018 Prices
MIMAROPA Region,2001,129576632,Constant 2018 Prices
Region V (Bicol Region),2001,181995859,Constant 2018 Prices
Region VI (Western Visayas),2001,331474894,Constant 2018 Prices
Region VII (Central Visayas),2001,398961448,Constant 2018 Prices
Region VIII (Eastern Visayas),2001,201720341,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2001,156632083,Constant 2018 Prices
Region X (Northern Mindanao),2001,272386379,Constant 2018 Prices
Region XI (Davao Region),2001,293475895,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2001,176820019,Constant 2018 Prices
Region XIII (Caraga),2001,101609542,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2001,94136902,Constant 2018 Prices
Philippines,2001,7198383735,Constant 2018 Prices
National Capital Region (NCR),2002,2507171644,Constant 2018 Prices
Cordillera Administrative Region (CAR),2002,156294714,Constant 2018 Prices
Region I (Ilocos Region),2002,252727880,Constant 2018 Prices
Region II (Cagayan Valley),2002,166495687,Constant 2018 Prices
Region III (Central Luzon),2002,791683392,Constant 2018 Prices
Region IV-A (CALABARZON),2002,1120500727,Constant 2018 Prices
MIMAROPA Region,2002,148590811,Constant 2018 Prices
Region V (Bicol Region),2002,189219301,Constant 2018 Prices
Region VI (Western Visayas),2002,340556420,Constant 2018 Prices
Region VII (Central Visayas),2002,406689373,Constant 2018 Prices
Region VIII (Eastern Visayas),2002,207527497,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2002,161152567,Constant 2018 Prices
Region X (Northern Mindanao),2002,299873812,Constant 2018 Prices
Region XI (Davao Region),2002,309524303,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2002,194583624,Constant 2018 Prices
Region XIII (Caraga),2002,107557223,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2002,105745055,Constant 2018 Prices
Philippines,2002,7465894031,Constant 2018 Prices
National Capital Region (NCR),2003,2624052475,Constant 2018 Prices
Cordillera Administrative Region (CAR),2003,164434850,Constant 2018 Prices
Region I (Ilocos Region),2003,264116263,Constant 2018 Prices
Region II (Cagayan Valley),2003,170783478,Constant 2018 Prices
Region III (Central Luzon),2003,826169061,Constant 2018 Prices
Region IV-A (CALABARZON),2003,1179350176,Constant 2018 Prices
MIMAROPA Region,2003,163145111,Constant 2018 Prices
Region V (Bicol Region),2003,199696474,Constant 2018 Prices
Region VI (Western Visayas),2003,360566385,Constant 2018 Prices
Region VII (Central Visayas),2003,424323970,Constant 2018 Prices
Region VIII (Eastern Visayas),2003,219236477,Constant 2018 Prices
Region IX (Zamboanga Peninsula),2003,168261350,Constant 2018 Prices
Region X (Northern Mindanao),2003,319682061,Constant 2018 Prices
Region XI (Davao Region),2003,331450707,Constant 2018 Prices
Region XII (SOCCSKSARGEN),2003,206949168,Constant 2018 Prices
Region XIII (Caraga),2003,112632685,Constant 2018 Prices
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2003,110826733,Constant 2018 Prices
Philippines,2003,7845677426,Constant 2018 Prices
National Capital Region (NCR),2004,2841837836,Constant 2018 Prices
Cordillera Administrative Region (CAR),2004,173236667,Constant 2018 Prices
Region I (Ilocos Region),2004,277856799,Constant 2018 Prices
Region II (Cagayan Valley),2004,186059551,Constant 2018 Prices
Region III (Central Luzon),2004,852296755,Constant 2018 Prices
Region IV-A (CALABARZON),2004,1244396888,Constant 2018 Prices
