Housing_Unit_Type,Region,City/Province,Year,Occupied Housing Units,Number of Households /a,Household Population /a,Total,One Floor,Two Floors,Three Floors,Four Floors,Five to 10 Floors,11 Floors or more,Not Reported,Not applicable
Apartment/Accessoria/Row House,Region Iii (Central Luzon),Aurora,2020,396.0,396.0,1392.0,396.0,273.0,92.0,27.0,4.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Iii (Central Luzon),Aurora,2020,72.0,72.0,251.0,72.0,54.0,14.0,3.0,0.0,1.0,0.0,0.0,0.0
Condominium/Condotel,Region Iii (Central Luzon),Aurora,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Iii (Central Luzon),Aurora,2020,636.0,641.0,2383.0,636.0,597.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Iii (Central Luzon),Aurora,2020,16.0,16.0,77.0,16.0,5.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0
Not Reported,Region Iii (Central Luzon),Aurora,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Iii (Central Luzon),Aurora,2020,92.0,92.0,346.0,92.0,84.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Iii (Central Luzon),Aurora,2020,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Single House,Region Iii (Central Luzon),Aurora,2020,55324.0,55815.0,230536.0,55324.0,51662.0,3533.0,118.0,2.0,0.0,0.0,9.0,0.0
All Types Of Building,Region Iii (Central Luzon),Bataan,2020,199002.0,208879.0,849326.0,199002.0,170222.0,27864.0,810.0,53.0,3.0,0.0,44.0,6.0
Apartment/Accessoria/Row House,Region Iii (Central Luzon),Bataan,2020,14060.0,14436.0,49071.0,14060.0,10210.0,3513.0,310.0,27.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Iii (Central Luzon),Bataan,2020,261.0,285.0,906.0,261.0,202.0,48.0,11.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Iii (Central Luzon),Bataan,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Iii (Central Luzon),Bataan,2020,10172.0,10618.0,41175.0,10172.0,8482.0,1665.0,21.0,1.0,0.0,0.0,3.0,0.0
Institutional Living Quarter,Region Iii (Central Luzon),Bataan,2020,24.0,24.0,89.0,24.0,16.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0
Not Reported,Region Iii (Central Luzon),Bataan,2020,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,Region Iii (Central Luzon),Bataan,2020,2509.0,2574.0,9650.0,2509.0,2021.0,463.0,22.0,0.0,3.0,0.0,0.0,0.0
Other Types Of Building,Region Iii (Central Luzon),Bataan,2020,6.0,6.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Single House,Region Iii (Central Luzon),Bataan,2020,171968.0,180934.0,748411.0,171968.0,149291.0,22171.0,443.0,24.0,0.0,0.0,39.0,0.0
All Types Of Building,Region Iii (Central Luzon),Bulacan,2020,865286.0,920457.0,3696426.0,865286.0,685931.0,169509.0,7920.0,726.0,49.0,10.0,942.0,199.0
Apartment/Accessoria/Row House,Region Iii (Central Luzon),Bulacan,2020,167898.0,176828.0,707213.0,167898.0,120680.0,44381.0,2413.0,260.0,46.0,7.0,111.0,0.0
Commercial/Industrial/Agricultural,Region Iii (Central Luzon),Bulacan,2020,1838.0,1989.0,5865.0,1838.0,1276.0,432.0,105.0,23.0,0.0,0.0,2.0,0.0
Condominium/Condotel,Region Iii (Central Luzon),Bulacan,2020,227.0,229.0,818.0,227.0,0.0,0.0,0.0,116.0,0.0,1.0,110.0,0.0
Duplex,Region Iii (Central Luzon),Bulacan,2020,48007.0,50233.0,196362.0,48007.0,38503.0,9174.0,265.0,17.0,0.0,0.0,48.0,0.0
Institutional Living Quarter,Region Iii (Central Luzon),Bulacan,2020,148.0,156.0,553.0,148.0,107.0,37.0,3.0,0.0,0.0,0.0,1.0,0.0
Not Reported,Region Iii (Central Luzon),Bulacan,2020,2.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,Region Iii (Central Luzon),Bulacan,2020,18770.0,19468.0,76441.0,18770.0,14128.0,4028.0,545.0,25.0,3.0,2.0,39.0,0.0
Other Types Of Building,Region Iii (Central Luzon),Bulacan,2020,199.0,247.0,788.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0
Single House,Region Iii (Central Luzon),Bulacan,2020,628197.0,671305.0,2708379.0,628197.0,511237.0,111457.0,4589.0,285.0,0.0,0.0,629.0,0.0
All Types Of Building,Region Iii (Central Luzon),City Of Angeles,2020,109497.0,116318.0,461081.0,109497.0,94715.0,14023.0,403.0,70.0,6.0,7.0,257.0,16.0
Apartment/Accessoria/Row House,Region Iii (Central Luzon),City Of Angeles,2020,8833.0,9245.0,32403.0,8833.0,5436.0,3171.0,178.0,38.0,5.0,0.0,5.0,0.0
Commercial/Industrial/Agricultural,Region Iii (Central Luzon),City Of Angeles,2020,302.0,339.0,1183.0,302.0,190.0,99.0,8.0,4.0,1.0,0.0,0.0,0.0
Condominium/Condotel,Region Iii (Central Luzon),City Of Angeles,2020,7.0,7.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Duplex,Region Iii (Central Luzon),City Of Angeles,2020,5613.0,5875.0,22968.0,5613.0,3921.0,1639.0,13.0,2.0,0.0,0.0,38.0,0.0
Institutional Living Quarter,Region Iii (Central Luzon),City Of Angeles,2020,9.0,9.0,30.0,9.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Iii (Central Luzon),City Of Angeles,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Iii (Central Luzon),City Of Angeles,2020,4369.0,4477.0,17333.0,4369.0,2453.0,1849.0,21.0,5.0,0.0,0.0,41.0,0.0
Other Types Of Building,Region Iii (Central Luzon),City Of Angeles,2020,16.0,16.0,53.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Single House,Region Iii (Central Luzon),City Of Angeles,2020,90348.0,96350.0,387094.0,90348.0,82707.0,7265.0,182.0,21.0,0.0,0.0,173.0,0.0
All Types Of Building,Region Iii (Central Luzon),City Of Olongapo,2020,63821.0,66422.0,258600.0,63821.0,46332.0,15787.0,1191.0,343.0,144.0,0.0,22.0,2.0
Apartment/Accessoria/Row House,Region Iii (Central Luzon),City Of Olongapo,2020,11685.0,12417.0,41879.0,11685.0,5813.0,5072.0,481.0,273.0,46.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Iii (Central Luzon),City Of Olongapo,2020,236.0,255.0,774.0,236.0,72.0,108.0,36.0,14.0,6.0,0.0,0.0,0.0
Condominium/Condotel,Region Iii (Central Luzon),City Of Olongapo,2020,78.0,78.0,279.0,78.0,0.0,0.0,0.0,0.0,75.0,0.0,3.0,0.0
Duplex,Region Iii (Central Luzon),City Of Olongapo,2020,4514.0,4720.0,18107.0,4514.0,3150.0,1298.0,57.0,2.0,0.0,0.0,7.0,0.0
Institutional Living Quarter,Region Iii (Central Luzon),City Of Olongapo,2020,8.0,8.0,35.0,8.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
Not Reported,Region Iii (Central Luzon),City Of Olongapo,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Iii (Central Luzon),City Of Olongapo,2020,3510.0,3575.0,13192.0,3510.0,2077.0,1257.0,147.0,14.0,13.0,0.0,2.0,0.0
Other Types Of Building,Region Iii (Central Luzon),City Of Olongapo,2020,2.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Single House,Region Iii (Central Luzon),City Of Olongapo,2020,43788.0,45367.0,184326.0,43788.0,35217.0,8051.0,470.0,40.0,0.0,0.0,10.0,0.0
All Types Of Building,Region Iii (Central Luzon),Nueva Ecija,2020,546068.0,572551.0,2306669.0,546068.0,501344.0,43205.0,1260.0,146.0,15.0,4.0,87.0,7.0
Apartment/Accessoria/Row House,Region Iii (Central Luzon),Nueva Ecija,2020,7295.0,7468.0,26894.0,7295.0,4434.0,2520.0,269.0,53.0,14.0,4.0,1.0,0.0
Commercial/Industrial/Agricultural,Region Iii (Central Luzon),Nueva Ecija,2020,732.0,780.0,2538.0,732.0,493.0,187.0,45.0,6.0,1.0,0.0,0.0,0.0
Condominium/Condotel,Region Iii (Central Luzon),Nueva Ecija,2020,3.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Duplex,Region Iii (Central Luzon),Nueva Ecija,2020,18645.0,19223.0,73924.0,18645.0,16720.0,1878.0,43.0,1.0,0.0,0.0,3.0,0.0
Institutional Living Quarter,Region Iii (Central Luzon),Nueva Ecija,2020,46.0,46.0,155.0,46.0,30.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0
Not Reported,Region Iii (Central Luzon),Nueva Ecija,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Iii (Central Luzon),Nueva Ecija,2020,5933.0,6023.0,22873.0,5933.0,5110.0,791.0,23.0,9.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Iii (Central Luzon),Nueva Ecija,2020,7.0,7.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Single House,Region Iii (Central Luzon),Nueva Ecija,2020,513407.0,539001.0,2180258.0,513407.0,474557.0,37822.0,876.0,72.0,0.0,0.0,80.0,0.0
All Types Of Building,Region Iii (Central Luzon),Pampanga *,2020,540236.0,573763.0,2432614.0,540236.0,478846.0,58790.0,1734.0,207.0,21.0,4.0,624.0,10.0
Apartment/Accessoria/Row House,Region Iii (Central Luzon),Pampanga *,2020,24394.0,25539.0,96083.0,24394.0,19622.0,4439.0,276.0,37.0,6.0,2.0,12.0,0.0
Commercial/Industrial/Agricultural,Region Iii (Central Luzon),Pampanga *,2020,714.0,750.0,2462.0,714.0,576.0,113.0,18.0,4.0,2.0,0.0,1.0,0.0
Condominium/Condotel,Region Iii (Central Luzon),Pampanga *,2020,4.0,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Duplex,Region Iii (Central Luzon),Pampanga *,2020,21945.0,22941.0,94433.0,21945.0,19032.0,2798.0,71.0,9.0,0.0,0.0,35.0,0.0
Institutional Living Quarter,Region Iii (Central Luzon),Pampanga *,2020,46.0,46.0,168.0,46.0,40.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
Not Reported,Region Iii (Central Luzon),Pampanga *,2020,2.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,Region Iii (Central Luzon),Pampanga *,2020,13485.0,13980.0,56314.0,13485.0,9653.0,3685.0,78.0,4.0,13.0,1.0,51.0,0.0
Other Types Of Building,Region Iii (Central Luzon),Pampanga *,2020,10.0,10.0,38.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Single House,Region Iii (Central Luzon),Pampanga *,2020,479636.0,510491.0,2183094.0,479636.0,429923.0,47752.0,1290.0,152.0,0.0,0.0,519.0,0.0
All Types Of Building,Region Iii (Central Luzon),Tarlac,2020,350479.0,359534.0,1498969.0,350479.0,327830.0,21655.0,568.0,61.0,3.0,11.0,320.0,31.0
Apartment/Accessoria/Row House,Region Iii (Central Luzon),Tarlac,2020,5144.0,5202.0,19129.0,5144.0,3730.0,1353.0,44.0,2.0,3.0,11.0,1.0,0.0
Commercial/Industrial/Agricultural,Region Iii (Central Luzon),Tarlac,2020,399.0,406.0,1426.0,399.0,263.0,108.0,25.0,3.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Iii (Central Luzon),Tarlac,2020,38.0,39.0,132.0,38.0,0.0,0.0,0.0,3.0,0.0,0.0,35.0,0.0
Duplex,Region Iii (Central Luzon),Tarlac,2020,13521.0,13770.0,56065.0,13521.0,11857.0,1637.0,17.0,0.0,0.0,0.0,10.0,0.0
Institutional Living Quarter,Region Iii (Central Luzon),Tarlac,2020,22.0,22.0,82.0,22.0,14.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0
Not Reported,Region Iii (Central Luzon),Tarlac,2020,2.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,Region Iii (Central Luzon),Tarlac,2020,4836.0,4893.0,19424.0,4836.0,4177.0,596.0,16.0,4.0,0.0,0.0,43.0,0.0
Other Types Of Building,Region Iii (Central Luzon),Tarlac,2020,31.0,36.0,130.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Single House,Region Iii (Central Luzon),Tarlac,2020,326486.0,335164.0,1402568.0,326486.0,307789.0,17956.0,466.0,47.0,0.0,0.0,228.0,0.0
All Types Of Building,Region Iii (Central Luzon),Zambales *,2020,161255.0,164922.0,647100.0,161255.0,148284.0,12535.0,366.0,27.0,0.0,0.0,27.0,16.0
Apartment/Accessoria/Row House,Region Iii (Central Luzon),Zambales *,2020,3721.0,3768.0,12954.0,3721.0,2687.0,976.0,56.0,2.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Iii (Central Luzon),Zambales *,2020,132.0,132.0,418.0,132.0,83.0,39.0,5.0,5.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Iii (Central Luzon),Zambales *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Iii (Central Luzon),Zambales *,2020,7227.0,7334.0,27865.0,7227.0,6343.0,870.0,14.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Iii (Central Luzon),Zambales *,2020,25.0,25.0,89.0,25.0,16.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Iii (Central Luzon),Zambales *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Iii (Central Luzon),Zambales *,2020,2457.0,2480.0,9012.0,2457.0,1912.0,536.0,3.0,3.0,0.0,0.0,3.0,0.0
Other Types Of Building,Region Iii (Central Luzon),Zambales *,2020,16.0,17.0,122.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Single House,Region Iii (Central Luzon),Zambales *,2020,147677.0,151166.0,596640.0,147677.0,137243.0,10106.0,287.0,17.0,0.0,0.0,24.0,0.0
All Types Of Building,Region Iv-A (Calabarzon),Batangas,2020,674774.0,715915.0,2901695.0,674774.0,579994.0,91165.0,2845.0,403.0,204.0,0.0,100.0,63.0
Apartment/Accessoria/Row House,Region Iv-A (Calabarzon),Batangas,2020,56670.0,59521.0,207849.0,56670.0,34896.0,20067.0,1272.0,240.0,193.0,0.0,2.0,0.0
Commercial/Industrial/Agricultural,Region Iv-A (Calabarzon),Batangas,2020,927.0,1072.0,3005.0,927.0,659.0,192.0,48.0,19.0,4.0,0.0,5.0,0.0
Condominium/Condotel,Region Iv-A (Calabarzon),Batangas,2020,7.0,7.0,19.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Duplex,Region Iv-A (Calabarzon),Batangas,2020,32687.0,34470.0,133938.0,32687.0,27482.0,5123.0,70.0,6.0,0.0,0.0,6.0,0.0
Institutional Living Quarter,Region Iv-A (Calabarzon),Batangas,2020,67.0,71.0,224.0,67.0,49.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0
Not Reported,Region Iv-A (Calabarzon),Batangas,2020,2.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,Region Iv-A (Calabarzon),Batangas,2020,9654.0,10046.0,37293.0,9654.0,7195.0,2371.0,65.0,23.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Iv-A (Calabarzon),Batangas,2020,63.0,67.0,230.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
Single House,Region Iv-A (Calabarzon),Batangas,2020,574697.0,610659.0,2519128.0,574697.0,509713.0,63399.0,1386.0,114.0,0.0,0.0,85.0,0.0
All Types Of Building,Region Iv-A (Calabarzon),Cavite,2020,1036970.0,1095917.0,4317998.0,1036970.0,695555.0,321413.0,15541.0,1998.0,560.0,825.0,801.0,277.0
Apartment/Accessoria/Row House,Region Iv-A (Calabarzon),Cavite,2020,288916.0,300282.0,1138187.0,288916.0,152649.0,128856.0,6235.0,933.0,176.0,8.0,59.0,0.0
Commercial/Industrial/Agricultural,Region Iv-A (Calabarzon),Cavite,2020,1992.0,2316.0,6041.0,1992.0,1445.0,420.0,93.0,26.0,6.0,0.0,2.0,0.0
Condominium/Condotel,Region Iv-A (Calabarzon),Cavite,2020,1590.0,1702.0,3187.0,1590.0,0.0,0.0,0.0,359.0,288.0,810.0,133.0,0.0
Duplex,Region Iv-A (Calabarzon),Cavite,2020,100247.0,105024.0,408351.0,100247.0,70694.0,28674.0,770.0,66.0,0.0,0.0,43.0,0.0
Institutional Living Quarter,Region Iv-A (Calabarzon),Cavite,2020,93.0,96.0,330.0,93.0,36.0,21.0,20.0,10.0,6.0,0.0,0.0,0.0
Not Reported,Region Iv-A (Calabarzon),Cavite,2020,7.0,7.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Other Multi-Unit Residential,Region Iv-A (Calabarzon),Cavite,2020,22166.0,23232.0,86230.0,22166.0,12929.0,8111.0,806.0,161.0,84.0,7.0,68.0,0.0
Other Types Of Building,Region Iv-A (Calabarzon),Cavite,2020,277.0,344.0,882.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0
Single House,Region Iv-A (Calabarzon),Cavite,2020,621682.0,662914.0,2674765.0,621682.0,457802.0,155331.0,7617.0,443.0,0.0,0.0,489.0,0.0
All Types Of Building,Region Iv-A (Calabarzon),City Of Lucena,2020,63782.0,66899.0,278340.0,63782.0,49553.0,13569.0,528.0,97.0,33.0,0.0,2.0,0.0
Apartment/Accessoria/Row House,Region Iv-A (Calabarzon),City Of Lucena,2020,4028.0,4160.0,15626.0,4028.0,2211.0,1650.0,130.0,37.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Iv-A (Calabarzon),City Of Lucena,2020,122.0,125.0,422.0,122.0,42.0,53.0,14.0,10.0,3.0,0.0,0.0,0.0
Condominium/Condotel,Region Iv-A (Calabarzon),City Of Lucena,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Iv-A (Calabarzon),City Of Lucena,2020,2671.0,2794.0,11224.0,2671.0,1798.0,855.0,15.0,3.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Iv-A (Calabarzon),City Of Lucena,2020,3.0,3.0,15.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Iv-A (Calabarzon),City Of Lucena,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Iv-A (Calabarzon),City Of Lucena,2020,755.0,782.0,2928.0,755.0,429.0,248.0,34.0,14.0,30.0,0.0,0.0,0.0
Other Types Of Building,Region Iv-A (Calabarzon),City Of Lucena,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Region Iv-A (Calabarzon),City Of Lucena,2020,56203.0,59035.0,248125.0,56203.0,45071.0,10762.0,335.0,33.0,0.0,0.0,2.0,0.0
All Types Of Building,Region Iv-A (Calabarzon),Laguna,2020,834930.0,915250.0,3372585.0,834930.0,639694.0,183843.0,9847.0,1015.0,373.0,20.0,117.0,21.0
Apartment/Accessoria/Row House,Region Iv-A (Calabarzon),Laguna,2020,193312.0,217513.0,739304.0,193312.0,134537.0,53726.0,4471.0,525.0,39.0,13.0,1.0,0.0
Commercial/Industrial/Agricultural,Region Iv-A (Calabarzon),Laguna,2020,838.0,939.0,2541.0,838.0,536.0,220.0,56.0,17.0,8.0,0.0,1.0,0.0
Condominium/Condotel,Region Iv-A (Calabarzon),Laguna,2020,342.0,345.0,1121.0,342.0,0.0,0.0,0.0,14.0,319.0,6.0,3.0,0.0
Duplex,Region Iv-A (Calabarzon),Laguna,2020,57593.0,62945.0,225809.0,57593.0,43215.0,13942.0,395.0,26.0,0.0,0.0,15.0,0.0
Institutional Living Quarter,Region Iv-A (Calabarzon),Laguna,2020,47.0,51.0,186.0,47.0,25.0,17.0,3.0,0.0,1.0,1.0,0.0,0.0
Not Reported,Region Iv-A (Calabarzon),Laguna,2020,2.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,Region Iv-A (Calabarzon),Laguna,2020,15139.0,16554.0,58870.0,15139.0,9757.0,4923.0,370.0,79.0,6.0,0.0,4.0,0.0
Other Types Of Building,Region Iv-A (Calabarzon),Laguna,2020,21.0,21.0,58.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Single House,Region Iv-A (Calabarzon),Laguna,2020,567636.0,616880.0,2344690.0,567636.0,451624.0,111015.0,4552.0,354.0,0.0,0.0,91.0,0.0
All Types Of Building,Region Iv-A (Calabarzon),Quezon *,2020,463376.0,483655.0,1945356.0,463376.0,411662.0,48938.0,2420.0,309.0,11.0,0.0,33.0,3.0
Apartment/Accessoria/Row House,Region Iv-A (Calabarzon),Quezon *,2020,9481.0,9796.0,36182.0,9481.0,6186.0,2976.0,258.0,51.0,10.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Iv-A (Calabarzon),Quezon *,2020,603.0,656.0,2142.0,603.0,338.0,196.0,57.0,10.0,1.0,0.0,1.0,0.0
Condominium/Condotel,Region Iv-A (Calabarzon),Quezon *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Iv-A (Calabarzon),Quezon *,2020,14116.0,14820.0,56651.0,14116.0,11254.0,2742.0,103.0,15.0,0.0,0.0,2.0,0.0
Institutional Living Quarter,Region Iv-A (Calabarzon),Quezon *,2020,39.0,39.0,119.0,39.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Iv-A (Calabarzon),Quezon *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Iv-A (Calabarzon),Quezon *,2020,3569.0,3685.0,13730.0,3569.0,2457.0,1029.0,63.0,20.0,0.0,0.0,0.0,0.0
Other Types Of Building,Region Iv-A (Calabarzon),Quezon *,2020,3.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Single House,Region Iv-A (Calabarzon),Quezon *,2020,435565.0,454656.0,1836524.0,435565.0,391404.0,41979.0,1939.0,213.0,0.0,0.0,30.0,0.0
All Types Of Building,Region Iv-A (Calabarzon),Rizal,2020,746907.0,784360.0,3321226.0,746907.0,540201.0,182653.0,18953.0,1966.0,2357.0,339.0,424.0,14.0
Apartment/Accessoria/Row House,Region Iv-A (Calabarzon),Rizal,2020,112508.0,117454.0,482613.0,112508.0,73829.0,32979.0,4568.0,888.0,236.0,3.0,5.0,0.0
Commercial/Industrial/Agricultural,Region Iv-A (Calabarzon),Rizal,2020,1026.0,1103.0,3443.0,1026.0,677.0,248.0,68.0,23.0,8.0,1.0,1.0,0.0
Condominium/Condotel,Region Iv-A (Calabarzon),Rizal,2020,2571.0,2586.0,8341.0,2571.0,0.0,0.0,0.0,5.0,2042.0,335.0,189.0,0.0
Duplex,Region Iv-A (Calabarzon),Rizal,2020,33622.0,35231.0,145361.0,33622.0,22315.0,10485.0,758.0,58.0,0.0,0.0,6.0,0.0
Institutional Living Quarter,Region Iv-A (Calabarzon),Rizal,2020,73.0,73.0,238.0,73.0,36.0,23.0,3.0,1.0,10.0,0.0,0.0,0.0
Not Reported,Region Iv-A (Calabarzon),Rizal,2020,2.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Other Multi-Unit Residential,Region Iv-A (Calabarzon),Rizal,2020,12334.0,12708.0,50343.0,12334.0,6404.0,5026.0,705.0,129.0,61.0,0.0,9.0,0.0
Other Types Of Building,Region Iv-A (Calabarzon),Rizal,2020,14.0,14.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Single House,Region Iv-A (Calabarzon),Rizal,2020,584757.0,615189.0,2630844.0,584757.0,436940.0,133892.0,12851.0,862.0,0.0,0.0,212.0,0.0
All Types Of Building,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,24305.0,26646.0,130121.0,24305.0,21527.0,2710.0,38.0,4.0,0.0,0.0,24.0,2.0
Apartment/Accessoria/Row House,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,79.0,101.0,435.0,79.0,68.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,16.0,19.0,70.0,16.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,475.0,518.0,2551.0,475.0,261.0,210.0,4.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,1.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,228.0,232.0,1119.0,228.0,107.0,115.0,5.0,0.0,0.0,0.0,1.0,0.0
Other Types Of Building,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,2.0,3.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Single House,Region Ix (Zamboanga Peninsula),City Of Isabela **,2020,23504.0,25772.0,125927.0,23504.0,21082.0,2367.0,28.0,4.0,0.0,0.0,23.0,0.0
All Types Of Building,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,209521.0,226783.0,966591.0,209521.0,181553.0,27118.0,599.0,134.0,8.0,0.0,93.0,16.0
Apartment/Accessoria/Row House,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,4236.0,4367.0,15619.0,4236.0,2597.0,1526.0,84.0,24.0,5.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,253.0,271.0,1037.0,253.0,147.0,77.0,22.0,4.0,3.0,0.0,0.0,0.0
Condominium/Condotel,Region Ix (Zamboanga Peninsula),City Of Zamboanga,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
