Housing_Unit_Type,Region,City/Province,Year,Occupied Housing Units,Number of Households /a,Household Population /a,Total,One Floor,Two Floors,Three Floors,Four Floors,Five to 10 Floors,11 Floors or more,Not Reported,Not applicable
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,1288.0,1385.0,8463.0,,,,,,,,,
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,21.0,24.0,113.0,,,,,,,,,
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,2.0,2.0,12.0,,,,,,,,,
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,353.0,362.0,2192.0,,,,,,,,,
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,0.0,0.0,0.0,,,,,,,,,
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Sulu,2020,144885.0,162882.0,979880.0,,,,,,,,,
All Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,65741.0,74757.0,438526.0,,,,,,,,,
Apartment/Accessoria/Row House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,33.0,33.0,170.0,,,,,,,,,
Commercial/Industrial/Agricultural,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,28.0,38.0,209.0,,,,,,,,,
Condominium/Condotel,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,3.0,3.0,13.0,,,,,,,,,
Duplex,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,76.0,81.0,408.0,,,,,,,,,
Institutional Living Quarter,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,6.0,6.0,35.0,,,,,,,,,
Not Reported,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,0.0,0.0,0.0,,,,,,,,,
Other Multi-Unit Residential,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,48.0,49.0,335.0,,,,,,,,,
Other Types Of Building,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,0.0,0.0,0.0,,,,,,,,,
Single House,Bangsamoro Autonomous Region In Muslim Mindanao (Barmm),Tawi-Tawi,2020,65547.0,74547.0,437356.0,,,,,,,,,
All Types Of Building,Cordillera Administrative Region (Car),Abra,2020,56928.0,58954.0,250304.0,56928.0,45054.0,11390.0,423.0,41.0,1.0,0.0,19.0,0.0
Apartment/Accessoria/Row House,Cordillera Administrative Region (Car),Abra,2020,76.0,76.0,225.0,76.0,27.0,34.0,10.0,5.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Cordillera Administrative Region (Car),Abra,2020,21.0,21.0,51.0,21.0,15.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
Condominium/Condotel,Cordillera Administrative Region (Car),Abra,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Cordillera Administrative Region (Car),Abra,2020,460.0,468.0,1808.0,460.0,341.0,109.0,10.0,0.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Cordillera Administrative Region (Car),Abra,2020,7.0,11.0,29.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
Not Reported,Cordillera Administrative Region (Car),Abra,2020,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Other Multi-Unit Residential,Cordillera Administrative Region (Car),Abra,2020,69.0,73.0,262.0,69.0,43.0,9.0,12.0,5.0,0.0,0.0,0.0,0.0
Other Types Of Building,Cordillera Administrative Region (Car),Abra,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Single House,Cordillera Administrative Region (Car),Abra,2020,56294.0,58304.0,247925.0,56294.0,44627.0,11233.0,387.0,29.0,0.0,0.0,18.0,0.0
All Types Of Building,Cordillera Administrative Region (Car),Apayao,2020,28385.0,28861.0,123929.0,28385.0,23846.0,4438.0,76.0,16.0,0.0,0.0,3.0,6.0
Apartment/Accessoria/Row House,Cordillera Administrative Region (Car),Apayao,2020,5.0,5.0,21.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commercial/Industrial/Agricultural,Cordillera Administrative Region (Car),Apayao,2020,34.0,35.0,120.0,34.0,16.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0
Condominium/Condotel,Cordillera Administrative Region (Car),Apayao,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Cordillera Administrative Region (Car),Apayao,2020,55.0,57.0,224.0,55.0,42.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0
Institutional Living Quarter,Cordillera Administrative Region (Car),Apayao,2020,1.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Cordillera Administrative Region (Car),Apayao,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Cordillera Administrative Region (Car),Apayao,2020,14.0,14.0,55.0,14.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Other Types Of Building,Cordillera Administrative Region (Car),Apayao,2020,6.0,6.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Single House,Cordillera Administrative Region (Car),Apayao,2020,28270.0,28743.0,123480.0,28270.0,23776.0,4413.0,72.0,6.0,0.0,0.0,3.0,0.0
All Types Of Building,Cordillera Administrative Region (Car),Benguet *,2020,115716.0,116690.0,459466.0,115716.0,55981.0,42240.0,11489.0,4679.0,700.0,0.0,595.0,32.0
Apartment/Accessoria/Row House,Cordillera Administrative Region (Car),Benguet *,2020,7599.0,7722.0,24399.0,7599.0,337.0,1373.0,2878.0,2229.0,659.0,0.0,123.0,0.0
Commercial/Industrial/Agricultural,Cordillera Administrative Region (Car),Benguet *,2020,256.0,260.0,782.0,256.0,148.0,45.0,35.0,21.0,7.0,0.0,0.0,0.0
Condominium/Condotel,Cordillera Administrative Region (Car),Benguet *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duplex,Cordillera Administrative Region (Car),Benguet *,2020,206.0,209.0,812.0,206.0,54.0,67.0,52.0,21.0,0.0,0.0,12.0,0.0
Institutional Living Quarter,Cordillera Administrative Region (Car),Benguet *,2020,14.0,14.0,23.0,14.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Not Reported,Cordillera Administrative Region (Car),Benguet *,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Multi-Unit Residential,Cordillera Administrative Region (Car),Benguet *,2020,59.0,59.0,193.0,59.0,9.0,12.0,0.0,4.0,34.0,0.0,0.0,0.0
Other Types Of Building,Cordillera Administrative Region (Car),Benguet *,2020,32.0,32.0,89.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Single House,Cordillera Administrative Region (Car),Benguet *,2020,107550.0,108394.0,433168.0,107550.0,55429.0,40743.0,8514.0,2404.0,0.0,0.0,460.0,0.0
All Types Of Building,Cordillera Administrative Region (Car),City Of Baguio,2020,97948.0,100210.0,363138.0,97948.0,26390.0,38716.0,19978.0,8129.0,3960.0,125.0,642.0,8.0
Apartment/Accessoria/Row House,Cordillera Administrative Region (Car),City Of Baguio,2020,16357.0,16869.0,53170.0,16357.0,413.0,3176.0,5444.0,4237.0,2992.0,17.0,78.0,0.0
Commercial/Industrial/Agricultural,Cordillera Administrative Region (Car),City Of Baguio,2020,460.0,497.0,1405.0,460.0,94.0,83.0,55.0,124.0,95.0,0.0,9.0,0.0
Condominium/Condotel,Cordillera Administrative Region (Car),City Of Baguio,2020,1099.0,1103.0,2510.0,1099.0,0.0,0.0,0.0,81.0,862.0,108.0,48.0,0.0
Duplex,Cordillera Administrative Region (Car),City Of Baguio,2020,760.0,808.0,2854.0,760.0,59.0,302.0,251.0,104.0,0.0,0.0,44.0,0.0
Institutional Living Quarter,Cordillera Administrative Region (Car),City Of Baguio,2020,28.0,32.0,95.0,28.0,1.0,6.0,2.0,8.0,11.0,0.0,0.0,0.0
