Region,City/Province,Year,"Occupied Housing Units, Number of Households, Household Population, by Type of Building and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 2,Unnamed: 3,Unnamed: 4,"Occupied Housing Units by Floor Area, Number of Occupants in Each Housing Unit and Province/Highly Urbanized City: Philippines, 2020",Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Occupied Housing Units by Type of Building, Number of Floors, and Province/Highly Urbanized City: Philippines, 2020"
CORDILLERA ADMINISTRATIVE REGION (CAR),Mountain Province,2020,,37153,37210,156586,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION (CAR),City of Baguio,2020,,79131,80788,302766,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Norte,2020,,134694,145536,581279,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Ilocos Sur,2020,,160188,167290,685658,,,,,,,,,,,,,
REGION I (ILOCOS REGION),La Union,2020,,184705,196408,788853,,,,,,,,,,,,,
REGION I (ILOCOS REGION),Pangasinan,2020,,702759,745746,3043772,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Batanes,2020,,5133,5505,18463,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Cagayan,2020,,281216,290801,1224751,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Isabela,2020,,388832,405502,1632395,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Nueva Vizcaya,2020,,118033,121758,474748,,,,,,,,,,,,,
REGION II (CAGAYAN VALLEY),Quirino,2020,,48316,48789,200755,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Aurora,2020,,55324,55815,230536,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bataan,2020,,171968,180934,748411,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Bulacan,2020,,628197,671305,2708379,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Nueva Ecija,2020,,513407,539001,2180258,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Pampanga,2020,,479636,510491,2183094,,,,,,,,,,,,,
REGION III (CENTRAL LUZON),Tarlac,2020,,326486,335164,1402568,,,,,,,,,,,,,
