Region,IncomeGroup,Value,Year
Northern Samar,3rd Decile,2757.18,2023
Samar (Western Samar),4th Decile,2855.78,2023
Southern Leyte,5th Decile,2031.69,2023
Biliran,6th Decile,853.56,2023
REGION IX - ZAMBOANGA PENINSULA,8th Decile,14434.8,2023
Zamboanga Del Norte,9th Decile,3967.85,2023
Zamboanga Del Sur (Excluding City of Zamboanga),10th Decile,3115.17,2023
City of Zamboanga,All Income Groups,5241.08,2023
Zamboanga Sibugay,1st Decile,2465.49,2023
Isabela City,2nd Decile,616.89,2023
REGION X - NORTHERN MINDANAO,4th Decile,22373.73,2023
Bukidnon,5th Decile,6033.88,2023
Camiguin,6th Decile,433.88,2023
Lanao Del Norte (Excluding City of Iligan),7th Decile,2503.62,2023
City of Iligan,8th Decile,1962.49,2023
Misamis Occidental,9th Decile,2366.97,2023
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",10th Decile,4781.89,2023
City of Cagayan de Oro,All Income Groups,5183.48,2023
REGION XI - DAVAO REGION,2nd Decile,27035.24,2023
Davao Del Norte,3rd Decile,5045.08,2023
Davao Del Sur (Excluding City of Davao),4th Decile,3913.18,2023
City of Davao,5th Decile,12704.38,2023
Davao Oriental,6th Decile,2530.62,2023
Davao De Oro,7th Decile,3697.62,2023
Davao Occidental,8th Decile,1199,2023
REGION XII - SOCCSKSARGEN1/,10th Decile,17793.96,2023
Cotabato (North Cotabato),All Income Groups,6114.63,2023
South Cotabato (Excluding City of General Santos),1st Decile,4336.58,2023
City of General Santos (Dadiangas),2nd Decile,3611.92,2023
Sultan Kudarat,3rd Decile,2644.35,2023
Sarangani,4th Decile,1973.75,2023
CARAGA,6th Decile,11842.19,2023
Agusan Del Norte (Excluding City of Butuan),7th Decile,1444.99,2023
City of Butuan,8th Decile,1942.7,2023
Agusan Del Sur,9th Decile,2787.57,2023
Surigao Del Norte,10th Decile,3070.12,2023
Surigao Del Sur,All Income Groups,2747.15,2023
Dinagat Islands,1st Decile,511.83,2023
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,3rd Decile,15333.35,2023
Basilan,4th Decile,1212.34,2023
Lanao Del Sur,5th Decile,4266.38,2023
Maguindanao ,6th Decile,3196.17,2023
Maguindanao del Norte,7th Decile,1676.9,2023
Maguindanao del Sur,8th Decile,1519.27,2023
Sulu,9th Decile,3138.29,2023
Tawi-Tawi,10th Decile,1095.37,2023
Cotabato City,All Income Groups,1126.13,2023
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",1st Decile,,2023
Notes:,3rd Decile,,2023
p - Estimates are preliminary and may change,4th Decile,,2023
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",5th Decile,,2023
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",6th Decile,,2023
Details may not add up to total due to rounding.,7th Decile,,2023
PHILIPPINES,8th Decile,662747.85,2023
NATIONAL CAPITAL REGION,10th Decile,141971.78,2023
NCR I,All Income Groups,,2023
City of Manila,1st Decile,20079.84,2023
NCR II,2nd Decile,,2023
City of Mandaluyong,3rd Decile,6622.14,2023
City of San Juan,4th Decile,1511.59,2023
Quezon City,5th Decile,29128.12,2023
City of Marikina,6th Decile,4551.19,2023
City of Pasig,7th Decile,9190.88,2023
NCR III,8th Decile,,2023
City of Caloocan,9th Decile,13567.6,2023
City of Malabon,10th Decile,2895.43,2023
City of Navotas,All Income Groups,1825.99,2023
City of Valenzuela,1st Decile,5997.13,2023
NCR IV,2nd Decile,,2023
City of Las Piñas,3rd Decile,7403.72,2023
City of Muntinlupa,4th Decile,6818.25,2023
City of Parañaque,5th Decile,9020.57,2023
Pasay City,6th Decile,4931.53,2023
City of Makati,7th Decile,10633.73,2023
Pateros,8th Decile,593.5,2023
City of Taguig,9th Decile,11041.54,2023
CAR - CORDILLERA ADMINISTRATIVE REGION,All Income Groups,12382.03,2023
Abra,1st Decile,1290.07,2023
Benguet (Excluding City of Baguio),2nd Decile,3649.95,2023
City of Baguio,3rd Decile,4127.47,2023
Ifugao,4th Decile,1087.27,2023
Kalinga,5th Decile,1363.26,2023
Mountain Province,6th Decile,891.84,2023
Apayao,7th Decile,670.29,2023
REGION I - ILOCOS REGION,9th Decile,31682.27,2023
Ilocos Norte,10th Decile,6009.98,2023
Ilocos Sur,All Income Groups,4365.73,2023
La Union,1st Decile,5321.72,2023
Pangasinan,2nd Decile,17909.92,2023
REGION II - CAGAYAN VALLEY,4th Decile,20823.24,2023
Batanes,5th Decile,167.17,2023
Cagayan,6th Decile,6824.69,2023
Isabela,7th Decile,9697.3,2023
Nueva Vizcaya,8th Decile,3031.42,2023
Quirino,9th Decile,943.91,2023
REGION III - CENTRAL LUZON,All Income Groups,95915.16,2023
Aurora,1st Decile,1108.23,2023
Bataan,2nd Decile,6257.03,2023
Bulacan,3rd Decile,28168.57,2023
Nueva Ecija,4th Decile,16578.2,2023
Pampanga (Excluding City of Angeles),5th Decile,22525.39,2023
City of Angeles,6th Decile,6195.45,2023
Tarlac,7th Decile,10914.86,2023
Zambales (Excluding City of Olongapo),8th Decile,4321.68,2023
City of Olongapo,9th Decile,2085.23,2023
REGION IVA - CALABARZON,All Income Groups,131639.23,2023
Batangas,1st Decile,24124.34,2023
Cavite,2nd Decile,39130.95,2023
Laguna,3rd Decile,32799.71,2023
Quezon (Excluding City of Lucena),4th Decile,9397.29,2023
City of Lucena,5th Decile,1899.58,2023
Rizal,6th Decile,27081.26,2023
MIMAROPA REGION,8th Decile,14099.56,2023
Marinduque,9th Decile,1235.47,2023
Occidental Mindoro,10th Decile,2223.39,2023
Oriental Mindoro,All Income Groups,4266.93,2023
Palawan (Excluding City of Puerto Princesa),1st Decile,3975.54,2023
City of Puerto Princesa,2nd Decile,2001.27,2023
Romblon,3rd Decile,1170.53,2023
REGION V - BICOL REGION,5th Decile,27198.52,2023
Albay,6th Decile,6219.26,2023
Camarines Norte,7th Decile,3034.99,2023
Camarines Sur,8th Decile,9324.31,2023
Catanduanes,9th Decile,1093.29,2023
Masbate,10th Decile,3928.53,2023
Sorsogon,All Income Groups,3175.55,2023
REGION VI - WESTERN VISAYAS,2nd Decile,26980.84,2023
Aklan,3rd Decile,3977.28,2023
Antique,4th Decile,2988.64,2023
Capiz,5th Decile,4759.71,2023
Iloilo (Excluding City of Iloilo),6th Decile,11182.56,2023
City of Iloilo,7th Decile,3759.56,2023
Guimaras,8th Decile,1086.87,2023
NEGROS ISLAND REGION,10th Decile,21383.94,2023
Negros Occidental (Excluding City of Bacolod),All Income Groups,12195.42,2023
City of Bacolod,1st Decile,4123.41,2023
Negros Oriental,2nd Decile,5242.66,2023
Siquijor,3rd Decile,557,2023
REGION VII - CENTRAL VISAYAS,5th Decile,40130.04,2023
Bohol,6th Decile,6692.9,2023
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),7th Decile,18530.6,2023
City of Cebu,8th Decile,7572.23,2023
City of Lapu-Lapu (Opon),9th Decile,4346.43,2023
City of Mandaue ,10th Decile,4537,2023
REGION VIII - EASTERN VISAYAS,1st Decile,21421.2,2023
Eastern Samar,2nd Decile,2341.88,2023
Leyte (Excluding City of Tacloban),3rd Decile,9151,2023
City of Tacloban,4th Decile,1457.11,2023
Northern Samar,5th Decile,3183.98,2023
Samar (Western Samar),6th Decile,3228.51,2023
Southern Leyte,7th Decile,2051.57,2023
Biliran,8th Decile,920.8,2023
REGION IX - ZAMBOANGA PENINSULA,10th Decile,15523.29,2023
Zamboanga Del Norte,All Income Groups,4201.87,2023
Zamboanga Del Sur (Excluding City of Zamboanga),1st Decile,3164.28,2023
City of Zamboanga,2nd Decile,5380.76,2023
Zamboanga Sibugay,3rd Decile,2582.52,2023
Isabela City,4th Decile,642.32,2023
REGION X - NORTHERN MINDANAO,6th Decile,24478.54,2023
Bukidnon,7th Decile,6476.99,2023
Camiguin,8th Decile,505.87,2023
Lanao Del Norte (Excluding City of Iligan),9th Decile,2652.69,2023
City of Iligan,10th Decile,2257.44,2023
Misamis Occidental,All Income Groups,2657.4,2023
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",1st Decile,4924,2023
City of Cagayan de Oro,2nd Decile,5626.78,2023
REGION XI - DAVAO REGION,4th Decile,30271.22,2023
Davao Del Norte,5th Decile,5662.62,2023
Davao Del Sur (Excluding City of Davao),6th Decile,3974.24,2023
City of Davao,7th Decile,15803.53,2023
Davao Oriental,8th Decile,2505.73,2023
Davao De Oro,9th Decile,4167.92,2023
Davao Occidental,10th Decile,1271.45,2023
REGION XII - SOCCSKSARGEN1/,1st Decile,19829.66,2023
Cotabato (North Cotabato),2nd Decile,6764.19,2023
South Cotabato (Excluding City of General Santos),3rd Decile,4789.4,2023
City of General Santos (Dadiangas),4th Decile,3749.73,2023
Sultan Kudarat,5th Decile,3041.38,2023
Sarangani,6th Decile,2147.51,2023
CARAGA,8th Decile,13166.06,2023
Agusan Del Norte (Excluding City of Butuan),9th Decile,1708.61,2023
City of Butuan,10th Decile,2056.55,2023
Agusan Del Sur,All Income Groups,2860.32,2023
Surigao Del Norte,1st Decile,2966.24,2023
Surigao Del Sur,2nd Decile,2924.28,2023
Dinagat Islands,3rd Decile,534.33,2023
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,5th Decile,15520.7,2023
Basilan,6th Decile,1317.87,2023
Lanao Del Sur,7th Decile,4317.47,2023
Maguindanao ,8th Decile,3275.82,2023
Maguindanao del Norte,9th Decile,1743.07,2023
Maguindanao del Sur,10th Decile,1532.75,2023
Sulu,All Income Groups,3222.58,2023
Tawi-Tawi,1st Decile,1203.72,2023
Cotabato City,2nd Decile,1145.5,2023
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",3rd Decile,,2023
Notes:,5th Decile,,2023
p - Estimates are preliminary and may change,6th Decile,,2023
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",7th Decile,,2023
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",8th Decile,,2023
Details may not add up to total due to rounding.,9th Decile,,2023
PHILIPPINES,10th Decile,747600.12,2023
NATIONAL CAPITAL REGION,1st Decile,154774.39,2023
NCR I,2nd Decile,,2023
City of Manila,3rd Decile,20757.54,2023
NCR II,4th Decile,,2023
City of Mandaluyong,5th Decile,7441.95,2023
City of San Juan,6th Decile,1722.84,2023
Quezon City,7th Decile,30704.25,2023
City of Marikina,8th Decile,5102.32,2023
City of Pasig,9th Decile,11088.94,2023
NCR III,10th Decile,,2023
City of Caloocan,All Income Groups,14658.11,2023
City of Malabon,1st Decile,2970.05,2023
City of Navotas,2nd Decile,1963.39,2023
City of Valenzuela,3rd Decile,6898.67,2023
NCR IV,4th Decile,,2023
City of Las Piñas,5th Decile,9040.78,2023
City of Muntinlupa,6th Decile,6806.8,2023
City of Parañaque,7th Decile,9714.27,2023
Pasay City,8th Decile,5563.65,2023
City of Makati,9th Decile,11484.72,2023
Pateros,10th Decile,652.19,2023
City of Taguig,All Income Groups,11741.16,2023
CAR - CORDILLERA ADMINISTRATIVE REGION,2nd Decile,13233.02,2023
Abra,3rd Decile,1365.17,2023
Benguet (Excluding City of Baguio),4th Decile,4009.02,2023
City of Baguio,5th Decile,4260.96,2023
Ifugao,6th Decile,1192,2023
Kalinga,7th Decile,1409.71,2023
Mountain Province,8th Decile,944.31,2023
Apayao,9th Decile,738.99,2023
REGION I - ILOCOS REGION,All Income Groups,35946.23,2023
Ilocos Norte,1st Decile,6244.35,2023
Ilocos Sur,2nd Decile,4833.03,2023
La Union,3rd Decile,5923.39,2023
Pangasinan,4th Decile,18001.54,2023
REGION II - CAGAYAN VALLEY,6th Decile,22475.52,2023
Batanes,7th Decile,180.94,2023
Cagayan,8th Decile,7621.64,2023
Isabela,9th Decile,10342.74,2023
Nueva Vizcaya,10th Decile,3258.92,2023
Quirino,All Income Groups,1182.19,2023
REGION III - CENTRAL LUZON,2nd Decile,102489.34,2023
Aurora,3rd Decile,1271.27,2023
Bataan,4th Decile,6880.33,2023
Bulacan,5th Decile,28215.41,2023
Nueva Ecija,6th Decile,16799.76,2023
Pampanga (Excluding City of Angeles),7th Decile,21067.45,2023
City of Angeles,8th Decile,6770.01,2023
Tarlac,9th Decile,11876.29,2023
Zambales (Excluding City of Olongapo),10th Decile,4762.56,2023
City of Olongapo,All Income Groups,2162.14,2023
REGION IVA - CALABARZON,2nd Decile,147110,2023
Batangas,3rd Decile,27332.17,2023
Cavite,4th Decile,44609.95,2023
Laguna,5th Decile,35510.49,2023
Quezon (Excluding City of Lucena),6th Decile,9531.77,2023
City of Lucena,7th Decile,2115.9,2023
Rizal,8th Decile,28256.09,2023
MIMAROPA REGION,10th Decile,16100.53,2023
Marinduque,All Income Groups,1192.88,2023
Occidental Mindoro,1st Decile,2465.67,2023
Oriental Mindoro,2nd Decile,4977.62,2023
Palawan (Excluding City of Puerto Princesa),3rd Decile,4018.95,2023
City of Puerto Princesa,4th Decile,2128.76,2023
Romblon,5th Decile,1291.27,2023
REGION V - BICOL REGION,7th Decile,28004.8,2023
Albay,8th Decile,7071.64,2023
Camarines Norte,9th Decile,3258.95,2023
Camarines Sur,10th Decile,9503.83,2023
Catanduanes,All Income Groups,1150.52,2023
Masbate,1st Decile,4144.12,2023
Sorsogon,2nd Decile,3464.25,2023
REGION VI - WESTERN VISAYAS,4th Decile,29260.73,2023
Aklan,5th Decile,4176.18,2023
Antique,6th Decile,3437.03,2023
Capiz,7th Decile,4503.67,2023
Iloilo (Excluding City of Iloilo),8th Decile,12488.69,2023
City of Iloilo,9th Decile,3965.44,2023
Guimaras,10th Decile,1045.64,2023
NEGROS ISLAND REGION,1st Decile,23182.55,2023
Negros Occidental (Excluding City of Bacolod),2nd Decile,12262.26,2023
City of Bacolod,3rd Decile,4880.27,2023
Negros Oriental,4th Decile,5853.05,2023
Siquijor,5th Decile,562.57,2023
REGION VII - CENTRAL VISAYAS,7th Decile,45389.87,2023
Bohol,8th Decile,7058.79,2023
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),9th Decile,20209.9,2023
City of Cebu,10th Decile,8169.9,2023
City of Lapu-Lapu (Opon),All Income Groups,4967.32,2023
City of Mandaue ,1st Decile,4715.74,2023
REGION VIII - EASTERN VISAYAS,3rd Decile,23317.4,2023
Eastern Samar,4th Decile,2319.22,2023
Leyte (Excluding City of Tacloban),5th Decile,9446.66,2023
City of Tacloban,6th Decile,1592.23,2023
Northern Samar,7th Decile,3334.28,2023
Samar (Western Samar),8th Decile,3292.88,2023
Southern Leyte,9th Decile,2210.64,2023
Biliran,10th Decile,981.3,2023
REGION IX - ZAMBOANGA PENINSULA,1st Decile,17251.66,2023
Zamboanga Del Norte,2nd Decile,4339.2,2023
Zamboanga Del Sur (Excluding City of Zamboanga),3rd Decile,3565.82,2023
City of Zamboanga,4th Decile,5537.79,2023
Zamboanga Sibugay,5th Decile,2705.97,2023
Isabela City,6th Decile,671.08,2023
REGION X - NORTHERN MINDANAO,8th Decile,27338.07,2023
Bukidnon,9th Decile,7400.22,2023
Camiguin,10th Decile,528.35,2023
Lanao Del Norte (Excluding City of Iligan),All Income Groups,3010.28,2023
City of Iligan,1st Decile,2344.25,2023
Misamis Occidental,2nd Decile,2915.23,2023
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",3rd Decile,5583.97,2023
City of Cagayan de Oro,4th Decile,6202.55,2023
REGION XI - DAVAO REGION,6th Decile,34525.2,2023
Davao Del Norte,7th Decile,5853.1,2023
Davao Del Sur (Excluding City of Davao),8th Decile,4640.98,2023
City of Davao,9th Decile,17041.3,2023
Davao Oriental,10th Decile,2742.76,2023
Davao De Oro,All Income Groups,4238.97,2023
Davao Occidental,1st Decile,1415.35,2023
REGION XII - SOCCSKSARGEN1/,3rd Decile,21833.6,2023
Cotabato (North Cotabato),4th Decile,7494.88,2023
South Cotabato (Excluding City of General Santos),5th Decile,5243.74,2023
City of General Santos (Dadiangas),6th Decile,4309.01,2023
Sultan Kudarat,7th Decile,3183.45,2023
Sarangani,8th Decile,2391.76,2023
CARAGA,10th Decile,14081.73,2023
Agusan Del Norte (Excluding City of Butuan),All Income Groups,1829.89,2023
City of Butuan,1st Decile,2304.73,2023
Agusan Del Sur,2nd Decile,3140.18,2023
Surigao Del Norte,3rd Decile,3480.79,2023
Surigao Del Sur,4th Decile,3127.74,2023
Dinagat Islands,5th Decile,593.98,2023
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,7th Decile,16501.03,2023
Basilan,8th Decile,1229.38,2023
Lanao Del Sur,9th Decile,4406.32,2023
Maguindanao ,10th Decile,3489.41,2023
Maguindanao del Norte,All Income Groups,1836.23,2023
Maguindanao del Sur,1st Decile,1653.19,2023
Sulu,2nd Decile,3327.69,2023
Tawi-Tawi,3rd Decile,1222.4,2023
Cotabato City,4th Decile,1172.69,2023
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",5th Decile,,2023
Notes:,7th Decile,,2023
p - Estimates are preliminary and may change,8th Decile,,2023
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",9th Decile,,2023
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",10th Decile,,2023
Details may not add up to total due to rounding.,All Income Groups,,2023
PHILIPPINES,1st Decile,848372.55,2023
NATIONAL CAPITAL REGION,3rd Decile,170358.4,2023
NCR I,4th Decile,,2023
City of Manila,5th Decile,22831.85,2023
NCR II,6th Decile,,2023
City of Mandaluyong,7th Decile,8095.61,2023
City of San Juan,8th Decile,2020.34,2023
Quezon City,9th Decile,31496.79,2023
City of Marikina,10th Decile,5477.41,2023
City of Pasig,All Income Groups,12045.15,2023
NCR III,1st Decile,,2023
City of Caloocan,2nd Decile,15307.98,2023
City of Malabon,3rd Decile,3583.68,2023
City of Navotas,4th Decile,2140.99,2023
City of Valenzuela,5th Decile,7275.01,2023
NCR IV,6th Decile,,2023
City of Las Piñas,7th Decile,9110.02,2023
City of Muntinlupa,8th Decile,8057.82,2023
City of Parañaque,9th Decile,9982.91,2023
Pasay City,10th Decile,6010.8,2023
City of Makati,All Income Groups,12767.96,2023
Pateros,1st Decile,714.14,2023
City of Taguig,2nd Decile,14197.15,2023
CAR - CORDILLERA ADMINISTRATIVE REGION,4th Decile,15674,2023
Abra,5th Decile,1379.56,2023
Benguet (Excluding City of Baguio),6th Decile,4611.68,2023
City of Baguio,7th Decile,4822.58,2023
Ifugao,8th Decile,1234.29,2023
Kalinga,9th Decile,1564.84,2023
Mountain Province,10th Decile,957.45,2023
Apayao,All Income Groups,751.26,2023
REGION I - ILOCOS REGION,2nd Decile,39440.83,2023
Ilocos Norte,3rd Decile,6388,2023
Ilocos Sur,4th Decile,5421.32,2023
La Union,5th Decile,7053.47,2023
Pangasinan,6th Decile,20975.38,2023
REGION II - CAGAYAN VALLEY,8th Decile,24531.24,2023
Batanes,9th Decile,210.82,2023
Cagayan,10th Decile,8654.43,2023
Isabela,All Income Groups,11001.55,2023
Nueva Vizcaya,1st Decile,3465.7,2023
Quirino,2nd Decile,1164.04,2023
REGION III - CENTRAL LUZON,4th Decile,112017.76,2023
Aurora,5th Decile,1341.3,2023
Bataan,6th Decile,7385.34,2023
Bulacan,7th Decile,33627.41,2023
Nueva Ecija,8th Decile,18761.34,2023
Pampanga (Excluding City of Angeles),9th Decile,24400.81,2023
City of Angeles,10th Decile,6937.27,2023
Tarlac,All Income Groups,12847.06,2023
Zambales (Excluding City of Olongapo),1st Decile,4842.27,2023
City of Olongapo,2nd Decile,2230.99,2023
REGION IVA - CALABARZON,4th Decile,162806.73,2023
Batangas,5th Decile,28811.43,2023
Cavite,6th Decile,51832.31,2023
Laguna,7th Decile,42435.89,2023
Quezon (Excluding City of Lucena),8th Decile,10208.91,2023
City of Lucena,9th Decile,2304.01,2023
Rizal,10th Decile,31842.8,2023
MIMAROPA REGION,1st Decile,17052.97,2023
Marinduque,2nd Decile,1298.28,2023
Occidental Mindoro,3rd Decile,2541.57,2023
Oriental Mindoro,4th Decile,4720.8,2023
Palawan (Excluding City of Puerto Princesa),5th Decile,4224.82,2023
City of Puerto Princesa,6th Decile,2429.28,2023
Romblon,7th Decile,1298.11,2023
REGION V - BICOL REGION,9th Decile,30604.25,2023
Albay,10th Decile,7232.62,2023
Camarines Norte,All Income Groups,3397.66,2023
Camarines Sur,1st Decile,11101.21,2023
Catanduanes,2nd Decile,1238.37,2023
Masbate,3rd Decile,4683.39,2023
Sorsogon,4th Decile,3549.5,2023
REGION VI - WESTERN VISAYAS,6th Decile,31051.22,2023
Aklan,7th Decile,4312.31,2023
Antique,8th Decile,3388.03,2023
Capiz,9th Decile,5150.22,2023
Iloilo (Excluding City of Iloilo),10th Decile,13690.74,2023
City of Iloilo,All Income Groups,3765.15,2023
Guimaras,1st Decile,1082.94,2023
NEGROS ISLAND REGION,3rd Decile,26083.16,2023
Negros Occidental (Excluding City of Bacolod),4th Decile,13293.2,2023
City of Bacolod,5th Decile,5058.79,2023
Negros Oriental,6th Decile,6938.09,2023
Siquijor,7th Decile,733.98,2023
REGION VII - CENTRAL VISAYAS,9th Decile,48961.53,2023
Bohol,10th Decile,7850.11,2023
Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),All Income Groups,23058.15,2023
City of Cebu,1st Decile,8819.45,2023
City of Lapu-Lapu (Opon),2nd Decile,5224.11,2023
City of Mandaue ,3rd Decile,4858.68,2023
REGION VIII - EASTERN VISAYAS,5th Decile,25100.22,2023
Eastern Samar,6th Decile,2653.27,2023
Leyte (Excluding City of Tacloban),7th Decile,9990.75,2023
City of Tacloban,8th Decile,1903.67,2023
Northern Samar,9th Decile,3663.64,2023
Samar (Western Samar),10th Decile,3460.2,2023
Southern Leyte,All Income Groups,2232.09,2023
Biliran,1st Decile,986.3,2023
REGION IX - ZAMBOANGA PENINSULA,3rd Decile,18814.58,2023
Zamboanga Del Norte,4th Decile,4603.42,2023
Zamboanga Del Sur (Excluding City of Zamboanga),5th Decile,4020.49,2023
City of Zamboanga,6th Decile,5971.26,2023
Zamboanga Sibugay,7th Decile,3036.22,2023
Isabela City,8th Decile,682.14,2023
REGION X - NORTHERN MINDANAO,10th Decile,29991.42,2023
Bukidnon,All Income Groups,8268.81,2023
Camiguin,1st Decile,541.73,2023
Lanao Del Norte (Excluding City of Iligan),2nd Decile,2941.57,2023
City of Iligan,3rd Decile,2893.98,2023
Misamis Occidental,4th Decile,2999.38,2023
"Misamis Oriental 
(Excluding City of Cagayan de Oro)",5th Decile,5535.29,2023
City of Cagayan de Oro,6th Decile,7624.61,2023
REGION XI - DAVAO REGION,8th Decile,37754.86,2023
Davao Del Norte,9th Decile,6067.21,2023
Davao Del Sur (Excluding City of Davao),10th Decile,4924.56,2023
City of Davao,All Income Groups,19127.01,2023
Davao Oriental,1st Decile,2649.7,2023
Davao De Oro,2nd Decile,4587.79,2023
Davao Occidental,3rd Decile,1521.31,2023
REGION XII - SOCCSKSARGEN1/,5th Decile,24219.45,2023
Cotabato (North Cotabato),6th Decile,8309.22,2023
South Cotabato (Excluding City of General Santos),7th Decile,5656.07,2023
City of General Santos (Dadiangas),8th Decile,4841.47,2023
Sultan Kudarat,9th Decile,3535.28,2023
Sarangani,10th Decile,2452.29,2023
CARAGA,1st Decile,15351.15,2023
Agusan Del Norte (Excluding City of Butuan),2nd Decile,1964.75,2023
City of Butuan,3rd Decile,2439.17,2023
Agusan Del Sur,4th Decile,3326.73,2023
Surigao Del Norte,5th Decile,3424.06,2023
Surigao Del Sur,6th Decile,3088.3,2023
Dinagat Islands,7th Decile,726.48,2023
BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,9th Decile,16882.88,2023
Basilan,10th Decile,1317.52,2023
Lanao Del Sur,All Income Groups,4286.28,2023
Maguindanao ,1st Decile,3463.52,2023
Maguindanao del Norte,2nd Decile,1781.01,2023
Maguindanao del Sur,3rd Decile,1682.52,2023
Sulu,4th Decile,3236.32,2023
Tawi-Tawi,5th Decile,1296.47,2023
Cotabato City,6th Decile,1278,2023
"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",7th Decile,,2023
Notes:,9th Decile,,2023
p - Estimates are preliminary and may change,10th Decile,,2023
"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",All Income Groups,,2023
"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",1st Decile,,2023
Details may not add up to total due to rounding.,2nd Decile,,2023
PHILIPPINES,3rd Decile,966503.95,2023
NATIONAL CAPITAL REGION,5th Decile,188200.04,2023
NCR I,6th Decile,,2023
City of Manila,7th Decile,25612.84,2023
NCR II,8th Decile,,2023
City of Mandaluyong,9th Decile,9119.63,2023
City of San Juan,10th Decile,2265.23,2023
Quezon City,All Income Groups,36983.61,2023
City of Marikina,1st Decile,6405.09,2023
City of Pasig,2nd Decile,13856.16,2023
NCR III,3rd Decile,,2023
City of Caloocan,4th Decile,17141.94,2023
City of Malabon,5th Decile,3716.05,2023
City of Navotas,6th Decile,2217.79,2023
City of Valenzuela,7th Decile,7464.16,2023
NCR IV,8th Decile,,2023
City of Las Piñas,9th Decile,9793.41,2023
City of Muntinlupa,10th Decile,8179.7,2023
City of Parañaque,All Income Groups,11765.98,2023
Pasay City,1st Decile,6272.59,2023
City of Makati,2nd Decile,14146.57,2023
Pateros,3rd Decile,726.48,2023
City of Taguig,4th Decile,14585.42,2023
CAR - CORDILLERA ADMINISTRATIVE REGION,6th Decile,17556.35,2023
Abra,7th Decile,1577.71,2023
Benguet (Excluding City of Baguio),8th Decile,5133.4,2023
City of Baguio,9th Decile,5278.62,2023
Ifugao,10th Decile,1320.11,2023
Kalinga,All Income Groups,1828.26,2023
Mountain Province,1st Decile,1188.46,2023
Apayao,2nd Decile,1010.32,2023
REGION I - ILOCOS REGION,4th Decile,42646.17,2023
Ilocos Norte,5th Decile,7142.43,2023
Ilocos Sur,6th Decile,6178.08,2023
La Union,7th Decile,7992.03,2023
Pangasinan,8th Decile,21482.82,2023
REGION II - CAGAYAN VALLEY,10th Decile,26788.68,2023
Batanes,All Income Groups,226.34,2023
Cagayan,1st Decile,9019.1,2023
Isabela,2nd Decile,12314.68,2023
Nueva Vizcaya,3rd Decile,4045.03,2023
Quirino,4th Decile,1327.76,2023
REGION III - CENTRAL LUZON,6th Decile,122421.89,2023
Aurora,7th Decile,1429.71,2023
Bataan,8th Decile,7945.03,2023
Bulacan,9th Decile,36692.92,2023
Nueva Ecija,10th Decile,19950.4,2023
Pampanga (Excluding City of Angeles),All Income Groups,26185.87,2023
City of Angeles,1st Decile,7303.45,2023
Tarlac,2nd Decile,12848.77,2023
Zambales (Excluding City of Olongapo),3rd Decile,6020.65,2023
