Region,IncomeGroup,Value,Year
City of Caloocan,7th Decile,9527.75,2018
City of Malabon,8th Decile,2408.53,2018
City of Navotas,9th Decile,1574.04,2018
City of Valenzuela,10th Decile,4310.59,2018
NCR IV,All Income Groups,,2018
City of Las Piñas,1st Decile,5303.65,2018
City of Muntinlupa,2nd Decile,4188.18,2018
City of Parañaque,3rd Decile,6406.64,2018
Pasay City,4th Decile,3527.71,2018
City of Makati,5th Decile,7312.5,2018
Pateros,6th Decile,442.95,2018
City of Taguig,7th Decile,7514.66,2018
CAR - CORDILLERA ADMINISTRATIVE REGION,9th Decile,7894.88,2018
Abra,10th Decile,765.56,2018
Benguet (Excluding City of Baguio),All Income Groups,2317.04,2018
City of Baguio,1st Decile,2677.8,2018
Ifugao,2nd Decile,915.94,2018
Kalinga,3rd Decile,857.61,2018
Mountain Province,4th Decile,539.83,2018
Apayao,5th Decile,379.15,2018
REGION I - ILOCOS REGION,7th Decile,22609.04,2018
Ilocos Norte,8th Decile,3190.68,2018
Ilocos Sur,9th Decile,2794.05,2018
La Union,10th Decile,3908.56,2018
Pangasinan,All Income Groups,13475.33,2018
REGION II - CAGAYAN VALLEY,2nd Decile,13107.55,2018
Batanes,3rd Decile,114.46,2018
Cagayan,4th Decile,4656.65,2018
Isabela,5th Decile,5705.15,2018
Nueva Vizcaya,6th Decile,1983.72,2018
Quirino,7th Decile,713.02,2018
REGION III - CENTRAL LUZON,9th Decile,61209.2,2018
Aurora,10th Decile,861.82,2018
Bataan,All Income Groups,4614.35,2018
Bulacan,1st Decile,19603.63,2018
Nueva Ecija,2nd Decile,9538.76,2018
Pampanga (Excluding City of Angeles),3rd Decile,14567.2,2018
City of Angeles,4th Decile,2890.25,2018
Tarlac,5th Decile,6496.71,2018
Zambales (Excluding City of Olongapo),6th Decile,2950.4,2018
City of Olongapo,7th Decile,1591.07,2018
REGION IVA - CALABARZON,9th Decile,87897.35,2018
Batangas,10th Decile,15720.82,2018
Cavite,All Income Groups,26593.72,2018
Laguna,1st Decile,20325.42,2018
Quezon (Excluding City of Lucena),2nd Decile,6970.13,2018
City of Lucena,3rd Decile,1579.76,2018
Rizal,4th Decile,20804.79,2018
MIMAROPA REGION,6th Decile,11338.73,2018
Marinduque,7th Decile,863.27,2018
Occidental Mindoro,8th Decile,1544.07,2018
Oriental Mindoro,9th Decile,3330.9,2018
Palawan (Excluding City of Puerto Princesa),10th Decile,3286.8,2018
City of Puerto Princesa,All Income Groups,1411.83,2018
Romblon,1st Decile,912.12,2018
REGION V - BICOL REGION,3rd Decile,18200.12,2018
