Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
Pasig,Province,,2018,7th Decile,9023.06,False
Pasig,Province,,2018,8th Decile,10888.25,False
Pasig,Province,,2018,9th Decile,11771.78,False
Pasig,Province,,2018,All Income Groups,88774.66,False
Pasig,Province,,2021,10th Decile,19492.94,False
Pasig,Province,,2021,1st Decile,4587.14,False
Pasig,Province,,2021,2nd Decile,5527.01,False
Pasig,Province,,2021,3rd Decile,6336.98,False
Pasig,Province,,2021,4th Decile,7181.14,False
Pasig,Province,,2021,5th Decile,8036.58,False
Pasig,Province,,2021,6th Decile,8477.0,False
Pasig,Province,,2021,7th Decile,9076.68,False
Pasig,Province,,2021,8th Decile,11063.25,False
Pasig,Province,,2021,9th Decile,11258.18,False
Pasig,Province,,2021,All Income Groups,91036.89,False
Pasig,Province,,2023,10th Decile,32787.96,False
Pasig,Province,,2023,1st Decile,5727.71,False
Pasig,Province,,2023,2nd Decile,7108.99,False
Pasig,Province,,2023,3rd Decile,8616.31,False
Pasig,Province,,2023,4th Decile,9190.88,False
Pasig,Province,,2023,5th Decile,11088.94,False
Pasig,Province,,2023,6th Decile,12045.15,False
Pasig,Province,,2023,7th Decile,13856.16,False
Pasig,Province,,2023,8th Decile,13573.81,False
Pasig,Province,,2023,9th Decile,16769.11,False
Pasig,Province,,2023,All Income Groups,130765.02,False
Caloocan,Province,,2018,10th Decile,28062.5,False
Caloocan,Province,,2018,1st Decile,6913.78,False
Caloocan,Province,,2018,2nd Decile,8804.2,False
Caloocan,Province,,2018,3rd Decile,9527.75,False
Caloocan,Province,,2018,4th Decile,11662.0,False
Caloocan,Province,,2018,5th Decile,12364.79,False
Caloocan,Province,,2018,6th Decile,13480.48,False
Caloocan,Province,,2018,7th Decile,14232.14,False
Caloocan,Province,,2018,8th Decile,16910.58,False
Caloocan,Province,,2018,9th Decile,19393.07,False
Caloocan,Province,,2018,All Income Groups,141351.28,False
Caloocan,Province,,2021,10th Decile,22637.36,False
Caloocan,Province,,2021,1st Decile,7449.83,False
Caloocan,Province,,2021,2nd Decile,8654.86,False
Caloocan,Province,,2021,3rd Decile,9641.16,False
Caloocan,Province,,2021,4th Decile,10626.57,False
Caloocan,Province,,2021,5th Decile,11525.44,False
Caloocan,Province,,2021,6th Decile,12638.44,False
Caloocan,Province,,2021,7th Decile,13693.4,False
Caloocan,Province,,2021,8th Decile,15020.12,False
Caloocan,Province,,2021,9th Decile,17998.65,False
Caloocan,Province,,2021,All Income Groups,129885.82,False
Caloocan,Province,,2023,10th Decile,23783.1,False
Caloocan,Province,,2023,1st Decile,9714.43,False
Caloocan,Province,,2023,2nd Decile,11273.81,False
Caloocan,Province,,2023,3rd Decile,11602.38,False
Caloocan,Province,,2023,4th Decile,13567.6,False
Caloocan,Province,,2023,5th Decile,14658.11,False
Caloocan,Province,,2023,6th Decile,15307.98,False
Caloocan,Province,,2023,7th Decile,17141.94,False
Caloocan,Province,,2023,8th Decile,18023.03,False
Caloocan,Province,,2023,9th Decile,19089.52,False
Caloocan,Province,,2023,All Income Groups,154161.91,False
Malabon,Province,,2018,10th Decile,5484.72,False
Malabon,Province,,2018,1st Decile,1866.51,False
Malabon,Province,,2018,2nd Decile,2298.05,False
Malabon,Province,,2018,3rd Decile,2408.53,False
Malabon,Province,,2018,4th Decile,2682.49,False
Malabon,Province,,2018,5th Decile,2647.08,False
Malabon,Province,,2018,6th Decile,2968.51,False
Malabon,Province,,2018,7th Decile,3298.03,False
Malabon,Province,,2018,8th Decile,3918.36,False
Malabon,Province,,2018,9th Decile,4178.4,False
Malabon,Province,,2018,All Income Groups,31750.68,False
Malabon,Province,,2021,10th Decile,5676.91,False
Malabon,Province,,2021,1st Decile,1850.47,False
Malabon,Province,,2021,2nd Decile,2159.84,False
Malabon,Province,,2021,3rd Decile,2299.82,False
Malabon,Province,,2021,4th Decile,2528.62,False
Malabon,Province,,2021,5th Decile,2816.92,False
Malabon,Province,,2021,6th Decile,3258.91,False
Malabon,Province,,2021,7th Decile,3351.83,False
Malabon,Province,,2021,8th Decile,3674.22,False
Malabon,Province,,2021,9th Decile,3785.65,False
Malabon,Province,,2021,All Income Groups,31403.2,False
Malabon,Province,,2023,10th Decile,5668.04,False
Malabon,Province,,2023,1st Decile,2104.7,False
Malabon,Province,,2023,2nd Decile,2358.35,False
Malabon,Province,,2023,3rd Decile,2660.35,False
Malabon,Province,,2023,4th Decile,2895.43,False
Malabon,Province,,2023,5th Decile,2970.05,False
Malabon,Province,,2023,6th Decile,3583.68,False
Malabon,Province,,2023,7th Decile,3716.05,False
Malabon,Province,,2023,8th Decile,3632.12,False
Malabon,Province,,2023,9th Decile,4682.16,False
Malabon,Province,,2023,All Income Groups,34270.92,False
Navotas,Province,,2018,10th Decile,4717.48,False
Navotas,Province,,2018,1st Decile,1138.95,False
Navotas,Province,,2018,2nd Decile,1314.04,False
Navotas,Province,,2018,3rd Decile,1574.04,False
Navotas,Province,,2018,4th Decile,1731.19,False
Navotas,Province,,2018,5th Decile,1923.65,False
Navotas,Province,,2018,6th Decile,2097.62,False
Navotas,Province,,2018,7th Decile,2416.39,False
Navotas,Province,,2018,8th Decile,2393.69,False
Navotas,Province,,2018,9th Decile,2598.63,False
Navotas,Province,,2018,All Income Groups,21905.68,False
Navotas,Province,,2021,10th Decile,3365.07,False
Navotas,Province,,2021,1st Decile,1336.5,False
Navotas,Province,,2021,2nd Decile,1532.7,False
Navotas,Province,,2021,3rd Decile,1649.29,False
Navotas,Province,,2021,4th Decile,1774.5,False
Navotas,Province,,2021,5th Decile,1806.73,False
Navotas,Province,,2021,6th Decile,2075.61,False
Navotas,Province,,2021,7th Decile,2167.24,False
Navotas,Province,,2021,8th Decile,2309.39,False
Navotas,Province,,2021,9th Decile,2493.03,False
Navotas,Province,,2021,All Income Groups,20510.06,False
Navotas,Province,,2023,10th Decile,3087.7,False
Navotas,Province,,2023,1st Decile,1456.07,False
Navotas,Province,,2023,2nd Decile,1594.94,False
Navotas,Province,,2023,3rd Decile,1902.55,False
Navotas,Province,,2023,4th Decile,1825.99,False
Navotas,Province,,2023,5th Decile,1963.39,False
Navotas,Province,,2023,6th Decile,2140.99,False
Navotas,Province,,2023,7th Decile,2217.79,False
Navotas,Province,,2023,8th Decile,2340.4,False
Navotas,Province,,2023,9th Decile,2761.59,False
Navotas,Province,,2023,All Income Groups,21291.41,False
Valenzuela,Province,,2018,10th Decile,11164.38,False
Valenzuela,Province,,2018,1st Decile,3463.15,False
Valenzuela,Province,,2018,2nd Decile,4296.1,False
Valenzuela,Province,,2018,3rd Decile,4310.59,False
Valenzuela,Province,,2018,4th Decile,5109.59,False
Valenzuela,Province,,2018,5th Decile,5256.32,False
Valenzuela,Province,,2018,6th Decile,6258.84,False
Valenzuela,Province,,2018,7th Decile,6012.56,False
Valenzuela,Province,,2018,8th Decile,6724.42,False
Valenzuela,Province,,2018,9th Decile,7517.83,False
Valenzuela,Province,,2018,All Income Groups,60113.79,False
Valenzuela,Province,,2021,10th Decile,10631.65,False
Valenzuela,Province,,2021,1st Decile,3450.18,False
Valenzuela,Province,,2021,2nd Decile,4106.42,False
Valenzuela,Province,,2021,3rd Decile,4563.09,False
